Accession	Gene ID	Abundances (Normalized): F13: Sample, WT C	Abundances (Normalized): F14: Sample, WT C	Abundances (Normalized): F15: Sample, WT C	Abundances (Normalized): F16: Sample, WT Cd	Abundances (Normalized): F17: Sample, WT Cd	Abundances (Normalized): F18: Sample, WT Cd	Abundance Ratio (log2): (WT Cd) / (WT C)	Abundance Ratio Adj. P-Value: (WT Cd) / (WT C)
Q94A84	AT3G50740	103269389.344123	105980625.000645	74662205.8518474	6052456.890625	8153453.95975452	6214552.0699098	-4.05	1.17297457125961E-16
P25857	AT1G42970	257768.884362085	2674635.67484814	305264.249815511	16829912.109375	10796440.4470929	13857746.7629415	5.5	1.17297457125961E-16
O64862	AT2G44270	57057544.1255414	87397067.4530131	38234502.8745218	877480.046875	953502.699575696	972210.494274057	-5.9	1.17297457125961E-16
F4K5W3	AT5G37130	0	0	0	866890.75	503727.184451163	506995.7703033	6.64	1.17297457125961E-16
P92979	AT4G04610	0	0	0	334422.46875	164791.039969083	141521.23825142	6.64	1.17297457125961E-16
F4IDB3	AT1G72410	448826.353194743	334383.747658208	234945.426603967	0	0	0	-6.64	1.17297457125961E-16
Q6NQK0	AT1G76970	300658.501842249	255696.21971168	1601549.65404154	0	0	0	-6.64	1.17297457125961E-16
Q9M8K3	AT3G06150	190489596.91947	160460976.143377	138983824.973524	3299698.28125	3115229.36830709	4304674.10907456	-5.6	1.17297457125961E-16
F4JHN2	AT4G00820	5792672.27538831	6235361.42063715	2187344.27575529	330014045.6875	191843392.791947	445215081.757835	5.83	1.17297457125961E-16
A8MRW6	AT3G55470	0	0	0	767898.25	471725.379769392	613808.139943433	6.64	1.17297457125961E-16
Q9CAD8	AT1G63730	147924.05617107	64281.5430028939	0	15807568	13583540.9239752	11781778.0930798	6.64	1.17297457125961E-16
Q8W5R6	AT1G21730	51317580.3793449	28072697.7462257	49598917.5663171	3358878.84375	6676419.87460931	2923635.7633513	-3.88	1.17297457125961E-16
Q9ZQ38	AT2G24290	0	0	0	698653.9375	512830.711805782	789840.792758444	6.64	1.17297457125961E-16
A0A1P8AS27	AT1G09195	79365.2573828366	732476.739636185	689220.762372552	0	0	0	-6.64	1.17E-16
Q84MA9	AT1G60630	221812.979519459	114843.471756676	318071.64877705	0	0	0	-6.64	1.17297457125961E-16
Q9SJP6	AT2G15350	0	0	0	8147382	10783216.6049913	10082995.413418	6.64	1.17297457125961E-16
O49652	AT4G22710	0	0	0	3345255.5	2514713.908275	1579691.1787393	6.64	1.17297457125961E-16
F4J750	AT3G59080	0	0	0	2250525.125	745157.448337382	1527328.27619828	6.64	1.17297457125961E-16
Q9SJ91	AT2G04680	1096367.36747189	294848.18043895	681717.809423112	0	0	0	-6.64	1.17297457125961E-16
Q9FHN6	AT5G51480	0	0	0	3595962.25	3924425.07403049	3388823.76748986	6.64	1.17297457125961E-16
Q9SW40	AT4G34950	376677.42952615	388799.26569962	1171978.16684161	0	0	0	-6.64	1.17297457125961E-16
Q8L7U5	AT4G03080	14549902.456918	12786220.7256189	9288329.70440518	486473426.09375	584499874.956718	621780356.654366	5.51	1.17297457125961E-16
Q8L748	AT3G14120	133088.442121775	947752.988179437	561833.90100201	39244382.8125	62983359.5718259	59745065.8841736	6.64	1.17297457125961E-16
O82330	AT2G14920	218724.49288355	996841.682943056	158295.622619717	0	0	0	-6.64	1.17297457125961E-16
Q9M2X5	AT3G49830	0	0	0	75544.4296875	435435.056630868	113682.538467162	6.64	1.17297457125961E-16
A0A1P8B3K8	AT4G28400	135313155.794398	92871780.930842	53046394.6100461	4219985.78125	2925478.28996359	2244964.71337487	-4.99	1.17297457125961E-16
Q8LAZ7	AT1G22920	6859589.48838567	5531620.01309294	7727314.34099112	110239316.03125	177583287.786741	170598672.976393	4.64	1.17297457125961E-16
F4K3R8	AT5G67500	2346512.37063604	3081828.95026374	2831293.09559136	0	0	0	-6.64	1.17297457125961E-16
Q9C9Q5	AT1G75110	0	0	0	464657.15625	470912.30848688	352208.082178175	6.64	1.17297457125961E-16
Q8L466		233776617.645933	181364934.12047	139882322.946228	7352699.03125	8700959.56640845	5259332.30399532	-4.62	1.17297457125961E-16
F4ISB3	AT2G03360	0	0	0	3098634.25	3542158.61714647	3531556.37249496	6.64	1.17297457125961E-16
Q9LFG1	AT3G53590	431370.210569407	169340.721282762	328460.4438038	0	0	0	-6.64	1.17297457125961E-16
P50700	AT4G11650	0	580522.863272275	892231.13927045	51879143.8125	38080678.0513273	6879773.32535143	5.73	1.17297457125961E-16
A0A1P8B6J9		614697343.653258	635152935.770421	377458122.737165	33992941.84375	39570405.6219788	40251618.3011068	-3.96	1.17297457125961E-16
Q56YA5	AT2G13360	83571315.7632249	33094211.9357308	70725970.6767464	4155683.8125	1220449.12123437	2108290.49910268	-5.07	1.17297457125961E-16
F4IUD7	AT2G20050	270065748.010608	219388745.218901	173548856.933311	10650014.84375	8266277.10955527	9595618.01505201	-4.51	1.17297457125961E-16
Q9M1C9	AT3G60140	0	0	0	2144316.625	1094564.75052337	924247.641175854	6.64	1.17297457125961E-16
C0Z2A9		1651542.99354849	2065487.44178844	1557994.17252068	27749337.75	39614695.5901166	34820357.5221265	4.4	1.17297457125961E-16
Q7Y232	AT2G15490	0	0	0	167706.078125	700101.842987354	259313.137983336	6.64	1.17297457125961E-16
Q9FMK7	AT5G63160	663471.613627312	347859.706618633	324060.021085735	0	0	0	-6.64	1.17297457125961E-16
Q9FJK7	AT5G48630	73871232.6783457	68520075.4460443	46775903.3493345	8100091.09375	5705174.70895701	5176218.01753714	-3.59	1.17297457125961E-16
Q9LDH3	AT1G12500	870233.469330227	6478.83662246527	3617.70615757116	694377.4765625	1508332.5699698	1777344.72460356	6.64	1.17297457125961E-16
O23339	AT4G14840	1052418.00778224	973979.417586524	883630.844169146	0	0	0	-6.64	1.17297457125961E-16
A0A1P8B4R8	AT4G23200	0	0	0	1891259.25	785659.105546336	102297.636704729	6.64	1.17297457125961E-16
Q9SB75	AT4G31590	1029035.16718886	968258.434829796	521489.195268075	32670133.375	39738858.8114259	40806413.5786213	5.36	1.17297457125961E-16
Q941F1	AT1G06800	108944565.649622	130235232.136574	116769196.559828	5728821.1875	3015551.22053674	3158986.13418337	-5.21	1.17297457125961E-16
B6ETT4	AT1G20080	0	0	0	4108661.75	5345756.47744072	2738699.13020387	6.64	1.17297457125961E-16
Q9FNA3	AT5G13690	0	0	0	312123.375	760844.360017737	490467.034901929	6.64	1.17297457125961E-16
Q8VXY1	AT5G28630	0	0	0	1168675.125	1150913.02798564	2098666.87235958	6.64	1.17297457125961E-16
Q9LZ83	AT5G04420	0	0	0	722658.6875	750227.866125477	639889.906801971	6.64	1.17297457125961E-16
Q9C7X7	AT1G56410	51798839.8180322	31728303.1227711	56480414.9982276	2950654.5	3054065.6398531	2014934.28724367	-4.13	1.17297457125961E-16
Q9M0A0	AT4G30600	555272839.290944	521976474.504996	432834314.163221	44968886.90625	54976091.4311335	38531704.5569302	-3.54	1.17297457125961E-16
Q9LTL8	AT3G26230	0	0	0	3004877.1875	3347259.23447949	4128173.96073727	6.64	1.17297457125961E-16
Q9LZG4	AT3G43840	0	0	0	156872.109375	343606.545346183	420617.892788193	6.64	1.17297457125961E-16
Q8W4J9	AT5G43470	0	0	0	1922847.25	2749622.68097545	929885.032569336	6.64	1.17297457125961E-16
F4IN63	AT2G48080	8111746.71120726	6662687.42095365	5151511.57401401	195798742.5	161713538.647811	186104649.115398	4.8	1.17297457125961E-16
A0A1I9LPI4	AT3G56160	153013.822116804	280849.846367745	275883.901623583	0	0	0	-6.64	1.17297457125961E-16
Q9SKI2	AT2G06530	112016655.967374	135339365.832417	119372532.889761	5577071.09375	7861118.85938733	7492578.06451707	-3.99	1.17297457125961E-16
Q84JF7	AT2G39270	25052793.5871096	38908810.6639632	48630320.4930171	2255264.1875	2542464.9545165	2325230.77983385	-4.06	1.17297457125961E-16
A0A2H1ZE50	AT5G01550	64007630.9994669	62745232.7354842	92407611.7482262	0	0	393269.549794144	-6.64	1.17297457125961E-16
F4JY73	AT5G25640	0	0	0	903444.125	907877.079210911	999197.012251231	6.64	1.17297457125961E-16
Q8GXA4	AT4G26455	93050.3069718474	86724.3564671611	153877.131061307	6520124.75	7681699.05505029	7185817.85419927	6.27	1.17297457125961E-16
Q9LUZ6	AT5G58600	0	0	0	523279.21875	728962.874213116	439850.640393719	6.64	1.17297457125961E-16
O65398	AT1G11840	345030794.36725	225068886.841884	193907130.325123	50328888.890625	28784744.0385828	29247614.3951609	-2.94	1.17297457125961E-16
F4ICG2	AT1G25350	0	0	0	191482.734375	209273.154233047	162894.154479412	6.64	1.17297457125961E-16
A0A1P8ATB0	AT1G68100	244809655.893864	124558720.948731	199721121.891091	6094843.6875	6163363.12281501	5815360.79411985	-5.03	1.17297457125961E-16
Q9LQZ4	AT1G75510	191294347.758475	164375433.895194	140711935.071016	1117592.8125	1074413.90447862	1748561.46593763	-6.64	1.17297457125961E-16
F4IUN0	AT2G26610	0	0	0	3514772.5	6565732.47156306	4808887.74817099	6.64	1.17297457125961E-16
F4IB81	AT1G51940	638380.927191143	596351.6576151	1170346.57223314	0	0	0	-6.64	1.17297457125961E-16
A0A1P8AY74	AT2G40070	0	0	0	595719.3125	759427.843623224	197094.862749614	6.64	1.17297457125961E-16
Q9LIM8		0	0	0	426783.90625	744737.927272641	278778.811350093	6.64	1.17297457125961E-16
Q9SKC1	AT2G31790	557760.85672242	721599.345383416	977761.502424327	0	0	0	-6.64	1.17297457125961E-16
Q2V3E2	AT4G27740	587572714.24275	561603706.232717	391913179.053039	3015735.375	4685392.83891387	4637425.47284964	-6.64	1.17297457125961E-16
Q8L607	AT2G41670	2756766.33934611	2473658.56112725	2890417.2968462	66707319.1328125	92125618.9529398	113001430.429233	5.06	1.17297457125961E-16
Q9SSQ9	AT1G52570	1222322.97714573	1015047.63464013	869872.673468951	0	0	0	-6.64	1.17297457125961E-16
F4IWW1	AT3G55480	213573530.124689	352394393.266888	137283565.146154	23778115.734375	19258740.4471703	22592865.7437798	-3.24	1.17297457125961E-16
F4HX45	AT1G62130	0	0	0	3384323.5	2329037.26227089	1643883.14343832	6.64	1.17297457125961E-16
F4JTF6	AT4G31900	0	0	0	18650467.125	20174286.1037612	23502634.8913872	6.64	1.17297457125961E-16
F4K6P2	AT5G07390	0	503832.13152488	847165.106637571	20424650.34375	15807512.2493093	20008913.8786469	4.94	1.17297457125961E-16
Q9ZQR4	AT2G14520	0	0	0	3598561.75	2812922.4769187	2590149.00944971	6.64	1.17297457125961E-16
Q9SRE4	AT1G76670	186120214.732625	262284338.932449	126717449.88966	3877043.84375	4200010.26104101	6376157.48326804	-5.47	1.17297457125961E-16
Q6NPS1	AT1G61690	1575820.01277823	1679741.50096094	1155087.27400096	129286168.4375	132858942.306181	115469191.273295	6.36	1.17297457125961E-16
A0A1I9LPC2	AT3G07980	281853.113656913	315762.124276987	188764.485438453	0	0	0	-6.64	1.17297457125961E-16
Q058G5		0	0	0	93414.4765625	124188.186609418	85791.781912469	6.64	1.17297457125961E-16
Q9SUT5	AT4G11260	5437332.47209896	2768714.00981285	3735752.56394322	96716243.3125	102287099.96551	99253216.6622044	4.73	1.17297457125961E-16
A0A1P8ATC6	AT1G11340	0	0	0	1975996.625	953468.918403919	1594827.1561845	6.64	1.17297457125961E-16
O82221	AT2G23930	857044.932839533	961403.218119152	921785.535517745	0	0	0	-6.64	1.17297457125961E-16
Q9FNG3	AT5G06450	0	0	0	164554.71875	185195.353158491	164493.166717558	6.64	1.17297457125961E-16
Q9SJW6	AT2G31300	578887.846993443	476498.324567788	646195.405258077	0	0	0	-6.64	1.17297457125961E-16
Q39162	AT5G10030	0	0	0	386897.09375	206417.349276135	199702.749317854	6.64	1.17297457125961E-16
Q9LR65	AT1G03590	4440849.19873902	3826620.16806909	3603913.00435468	54809146.28125	52267017.460023	37991379.1274792	3.77	1.17297457125961E-16
A0A1P8AXX8	AT2G34310	192112817.884781	260374808.821817	136953269.641171	16063931.15625	10704759.7165155	12126752.9435789	-3.99	1.17297457125961E-16
Q9FIC6	AT5G39150	3280313.35650183	2157395.7070983	42035109.5113563	65529460	47742480.4536297	37299518.7892437	3.86	2.59684831290566E-15
Q9M3C8	AT3G55230	211044.894399746	100102.991430761	122672.371862656	9600039.73828125	7482183.23297527	6411808.88114652	5.93	2.59684831290566E-15
Q8L831	AT1G79690	23904230.5249526	23835914.0927968	14189558.6378666	225770093.171875	222537521.405449	229695100.225038	3.24	5.18452588427074E-15
Q8GYC1	AT2G02080	32757064.1908009	22883160.8845501	9747188.59462811	1651593.25	1010152.49371692	1109994.01192352	-4.37	5.18452588427074E-15
Q9FXA2	AT1G49760	608150802.377318	651480823.791139	385893413.543111	62485370.109375	82142330.3014521	63743398.7127641	-3.25	5.18452588427074E-15
Q84VZ5	AT5G19240	8149832.33705141	3331694.77558327	4064701.37874807	68627066.375	51532564.0574985	33871718.9195431	3.66	1.03629523263247E-14
Q9C5L6	AT5G10190	5708127.7733604	2013511.13744903	4103422.33218374	29521553.5625	51498978.7593062	47868289.6102487	3.54	1.41906274533005E-13
Q9FLB4	AT5G05400	72684328.7429864	58106990.2853037	79758982.9971521	7149075.2734375	6137768.36768959	11810704.8499614	-3.35	1.46894394444246E-13
Q38903	AT5G45970	708936.499364914	315758.441113022	217645.72378747	0	12210804.5900134	0	5.27	1.9294340268785E-13
Q681W7		15685363.5159813	19244204.7812849	29493983.3850164	1626314.4375	1163191.27466967	3089855.03316286	-3.56	2.08257229325002E-13
A0A1P8B863	AT4G31570	389471596.052753	347918448.497972	283992477.146049	40066116.984375	43777428.6791768	37682419.7096046	-3.12	5.43199918552718E-13
Q39230	AT5G27470	304622257.178497	148424935.375265	219444547.858145	32236947.5546875	38950555.1351012	36049394.2323546	-2.61	2.194481093756E-12
Q42534	AT1G53830	35488384.2869834	40222327.3180953	54220729.1349483	3765646.5	5495608.02173995	4899777.53481007	-3.04	4.73030714270885E-12
Q93YQ5	AT3G61180	3012022.78247622	1051404.5794504	5529201.61766671	42875745.375	33765939.233299	33821150.491147	3.49	5.44803765363717E-12
F4I270	AT1G69550	0	0	4166860.7104487	44489.2109375	44441.4069550948	717146.215774596	-6.55	1.23466449162413E-11
Q9C7H2		18615610.5863663	22822092.6989909	16604680.4095861	1888585.5390625	2055598.66631713	3218429.53115056	-3.18	2.51164296733935E-11
Q8VWF5	AT1G29400	3267676.61522517	2360232.49363637	4094159.1451229	41857972.390625	33736950.3936061	37472052.8557349	3.52	3.10453051355762E-11
A0A1P8B137	AT2G43850	6073080.79703052	4448907.45214427	6608183.75878706	90220640.8710938	58112609.8204543	47686051.8832355	3.26	3.18099134663147E-11
Q9LU74	AT5G57120	64921046.685737	90402866.91456	59691261.9964809	8269927.6953125	2725827.03980373	16615425.8322625	-2.97	4.68482394824547E-11
F4K1S1	AT5G48600	255139900.103795	140441358.400329	281700525.250135	37225808.2421875	39214994.9799445	42323263.6527991	-2.7	5.54971411832042E-11
Q941R7	AT1G70880	611069.670083228	1376472.25359398	1571336.46432848	25992533.75	24896320.32301	25927144.6728404	4.24	1.24398137278661E-10
O82251	AT2G47840	6675999.65222929	7559392.97527446	8907294.86618954	75074671.859375	77375496.3538429	78239944.9077634	3.36	1.46552079198649E-10
Q93V58	AT3G45240	44963678.3435989	38623191.4091366	45822236.261277	5040166	6424661.3966996	6387453.50266431	-2.82	2.71175181145904E-10
Q9ZPS9	AT2G01950	3506495.108382	20210066.3610551	45151938.9146106	1992592.25	1191831.39766306	2598216.71609084	-3.34	3.55877812366386E-10
Q7XA86	AT3G51390	0	1108063.71984076	0	15864326.5625	14694996.4770995	19461376.5508321	3.84	5.07016705703866E-10
A8MRF3	AT1G29970	420310357.840236	448847086.435392	257469213.033607	62037287.15625	84029071.0023879	67998336.2573461	-2.63	6.83772400991515E-10
F4JV35	AT4G32650	0	47588.784916798	42189.939256508	920.887939453125	1433.12335768723	1396.47599471583	-5	6.94143965284668E-10
O23264	AT4G14030	5844979.69506022	9033602.08309793	4366158.69927104	71037699.140625	47237155.7326866	25738803.4321348	3.01	7.20523114228054E-10
F4JLY4	AT4G22690	48169730.3022442	51695124.335308	60234897.4028633	474847126.03125	336226427.550469	164332975.071507	2.7	1.22430310233737E-09
Q93ZR3	AT1G04080	41420329.0885343	60959534.4881426	123485222.940994	13594931.5	9819897.5233879	9857534.05925123	-2.63	2.34710880048905E-09
A9X4U2	AT2G43420	144801048.835752	92550849.1429006	207093022.073522	22523851.09375	29639532.485024	22793266.6708049	-2.67	2.97050061684259E-09
Q9LHN8	AT3G13610	12558577.3462116	5920323.06516134	16008825.3945115	93693201.859375	100943227.844116	87886912.9087209	2.9	3.99903861520214E-09
A0A1I9LQT2	AT3G48150	4572318.50597365	22858513.115188	17001880.0520763	2136538.59375	3957874.48470713	1927805.12115684	-2.99	4.87377341877528E-09
F4JXW2	AT5G11500	33843514.3388094	26388375.8156158	30529882.7704051	4196158.75	12220338.0406412	4243271.72193448	-2.85	5.67959370196805E-09
Q93Z53	AT1G32440	55453878.1952923	83558833.700239	40315357.2869998	316267580.15625	343441574.642738	353676037.846104	2.63	6.00778911220064E-09
A0A2H1ZEG1	AT3G01040	42338015.6004356	41472439.4239658	31567789.2551902	187838572.015625	269376814.598187	278993015.057753	2.7	9.33357899223273E-09
A0A1P8AVK4	AT1G15890	738408.571093884	742081.853505259	16297897.0471416	16339562.5	12903406.9608553	7350932.93637414	4.12	1.85352596300104E-08
Q9SI49		383620.793798673	11872071.1380368	26811425.6531503	902377.21875	917234.489798527	1514989.4000288	-3.69	1.90138150322105E-08
O22823	AT2G43810	7666295.60605718	12471865.3984566	12074170.0508308	90903195.6875	85859191.6508299	91685880.0466369	2.91	2.14953387837494E-08
Q4PSF4	AT5G19700	0	0	548748.356184074	11403696	9991916.45117812	5699436.79730079	4.19	2.69866866065343E-08
Q8VZL1		20885361.1504683	36576774.1355546	42325850.0292725	6748390.03125	5978025.62347875	8819842.95586284	-2.44	3.61471379517401E-08
Q4V3C8	AT3G10540	56799331.9788749	51377232.9450554	40804629.7596363	10285895.71875	7991678.74538155	9590989.94283563	-2.42	4.48487111386617E-08
Q9C911	AT1G74250	205138.500510416	1226748.49690133	106151.550349971	5090894.859375	2865171.79883528	6311843.78521843	4.63	4.58119524675366E-08
Q9FFG5		3037040.56982087	1939702.8967628	639785.380697972	17632929.09375	16249342.0982277	19691340.5787122	3.18	9.78812184036777E-08
P92995	AT1G18970	1382640.54607999	1413298.47682472	753187.905447397	19738249.0625	13239561.0867121	3405595.56342776	3.26	1.20715635252198E-07
Q8RWY3	AT3G06400	118230914.612197	114521661.97647	130203043.329437	794921883.245605	540560360.472188	532029291.262357	2.19	1.37948727549087E-07
B3H5W6	AT5G35180	127239888.378753	98601036.7644286	103878584.72647	590031907.65625	431079983.327788	474244746.867381	2.19	1.42119609580649E-07
Q8VY01	AT2G33530	51444725.818085	46605112.5671584	30984697.3930782	275952730.4375	275925854.446557	250314530.62721	2.57	1.49900731625167E-07
O49340	AT2G30750	14958927.2862569	23123835.9203508	47000333.8635588	230070048.523438	131335621.731035	116080109.232562	2.51	1.61374655290168E-07
A8MQL8	AT5G15230	13321960.4185296	16218005.7617947	2839320.66559617	1819720.125	1183553.45891506	2192023.23894799	-2.87	1.76619411543237E-07
Q9SVC2	AT3G52400	675466159.789552	686106566.005752	526243174.709291	236944563.828125	139431240.842393	140452202.463924	-2.27	1.95409380063146E-07
F4I600	AT1G16820	13871726.833306	10256303.2522248	24365316.2931415	1770895.65625	1540573.582644	1874581.11085683	-2.97	2.03531017184122E-07
Q9LUE5	AT5G50760	581718.737341084	1263264.50384165	593250.66858419	9814558	9869625.90477295	5924937.55911008	4.05	2.12996772992392E-07
F4K2Y3	AT5G36210	23246354.6660631	32724807.164296	54494256.0282695	6091402.4375	11177824.0815528	5020972.67854743	-2.43	2.64563047145905E-07
Q5XV72	AT4G25070	12837836.0277231	5343653.60385892	9525024.79376521	59211979.9365234	47813735.9885843	84549181.2077429	2.64	2.87689429581438E-07
Q9FR95	AT4G15340	30570385.1164858	23984537.5493918	39849869.7382634	6104325	5739308.60228333	5763258.8572074	-2.41	3.21912033382104E-07
Q94AL6		1358095.74368843	1177440.98789422	6454258.65761472	13053550.4375	11784555.862316	13989008.1755353	3.26	3.44028208426003E-07
Q9SCQ4		77103.2102721117	67822.3454585957	3547458.40036977	3361129.640625	2531266.14499806	2674029.99939547	5.12	3.44796430558027E-07
Q9LUJ5	AT3G22660	67632434.5242206	104771546.446755	42463752.8867591	12260624.9375	13398169.1060197	16021725.5506937	-2.34	3.90517600045473E-07
Q9FHA3	AT5G67100	118132014.810055	124381743.800828	77939137.5745652	465554257.773438	509995331.168973	564896412.551097	2.11	4.54690225788162E-07
Q501E6	AT5G25250	5704005.1359714	2732113.0102531	9867150.67984755	50722123.71875	36971800.1221018	18674562.3423816	2.7	5.15617802760852E-07
O82659	AT3G50360	11865328.1354251	4210145.86516008	3856866.75940802	33527240.625	30891089.8785756	7604116.45007988	2.88	5.46368249504128E-07
Q94C74	AT5G26780	312018514.64309	382487652.773565	338535619.131228	188137456.214844	1435716958.05185	1666952643.65096	2.08	6.52859621174561E-07
Q84JE8	AT3G14890	16675007.2532632	11745346.0320957	2020194.04452509	1274328.265625	1613414.87358951	711840.390130909	-3.2	7.30874724731792E-07
F4ITL6	AT2G26070	0	0	7314579.31843745	829510.46875	713676.898318496	636932.486533077	-3.36	8.08805290964664E-07
Q9FKA4	AT5G39580	1326459.80464325	1113686.37656341	1391136.13631064	12849353.59375	19071538.6293707	8867282.77525698	3.28	9.34447123570755E-07
Q94AM8		42460626.2148222	51813043.0142639	42216983.8967426	7022815.484375	9619267.80683197	10319736.9949123	-2.14	9.37618863771423E-07
Q9SRY5	AT1G02920	25440551.7242449	38822053.5968474	22380718.7163077	152993750.71875	129163074.808653	50472497.5161626	2.34	1.33204060555596E-06
Q9SIU2	AT2G13540	815896.320417809	3451105.74980557	13973222.688257	27634348.71875	55778676.6981208	25052135.5028972	3	1.47981394278922E-06
F4I7I0	AT1G17290	32382331.6022834	37003282.6540182	60648232.8251986	174785063.65625	182684942.158394	175823628.992938	2.25	1.61039107903204E-06
