Accession	Gene ID	Abundances (Normalized): F13: Sample, WT C	Abundances (Normalized): F14: Sample, WT C	Abundances (Normalized): F15: Sample, WT C	Abundances (Normalized): F16: Sample, WT Cd	Abundances (Normalized): F17: Sample, WT Cd	Abundances (Normalized): F18: Sample, WT Cd	Abundance Ratio (log2): (WT Cd) / (WT C)	Abundance Ratio Adj. P-Value: (WT Cd) / (WT C)
Q9SSK5	AT1G70890	266148.733641511	738430.899170393	187088.634978933	2320658.8125	2311811.96799037	3411870.20782971	3.12	0.005058386517011
Q9XGW1	AT5G43810	301512.96401219	287273.591252744	5058988.40215992	3114600.9375	2651381.76299709	2798486.72270763	3.21	0.005075660779334
F4IB95	AT1G52060	15411193.7435586	19772073.4033368	40215770.3709764	75984556.59375	70575414.2976289	26256950.6658982	1.84	0.00528294647847
Q9M386		13240045.3106894	14536697.7425916	14361326.44302	51487640.4375	45142296.8000424	48240732.4675868	1.75	0.0053458848438
C0LGQ9	AT4G20940	3384259.04323946	5040446.78973211	4857470.07403916	1105171.0625	852733.412155305	3076774.13284411	-2.14	0.005392432637446
F4HW04	AT1G08260	7670098.5330373	3239113.50233246	4942161.74349569	14238984.3125	21960276.5099753	25952651.0300951	2.15	0.005528889882862
A0A2H1ZE60	AT5G04270	34643061.5207475	6346613.22074954	1279585.26375853	1776570.9375	1471493.00210108	503236.619680298	-2.11	0.005644534288673
F4JLJ2	AT4G10060	156621.906715672	812429.274168946	562957.203565165	0	0	72750.0184597728	-2.95	0.005680782834168
Q66GM8	AT5G26670	6076877.99335238	5845421.62891184	1940184.03721765	1277178.74609375	26798599.8211813	1016373.03389521	-2.19	0.005975493060174
Q9FY64	AT5G09510	11552847.6785789	11482779.3755399	9376934.68665374	4879155.5	3531944.06458676	3499818.7821039	-1.7	0.00605923218469
O23180	AT4G37060	18257019.1189172	12720713.0455965	18392624.9989787	53735497.6875	63232906.2064924	60527012.4799649	1.73	0.006094861517269
F4IIU4	AT2G34680	191866987.899239	175033604.594824	162473725.725191	404146380.515625	425441573.277702	443212720.708604	1.28	0.006427760446137
A8MQN4	AT1G53710	4862454.98911936	3384624.06248913	16696305.2428359	22336482.3515625	22203544.2372902	5761446.371594	2.19	0.006545104307407
Q9SLM4	AT2G40980	43672256.770731	26095997.8014485	39801640.7669506	104188512.8125	128092752.255272	157027884.097924	1.69	0.006590634983697
O81816	AT4G38540	40687848.3030453	43556775.6198368	73657335.7687447	136692208	183029798.70245	112932915.905506	1.65	0.006598952121557
P02663		70131712.2879104	45962273.2417005	23818198.1916737	18928914.375	10764378.4829725	23197546.9770167	-1.28	0.006761053649714
P0C1T5	AT5G09978	207854557.606087	205562164.079583	126670358.905538	101782044	86577330.8538334	84452263.4782145	-1.25	0.006894667896569
F4K5T4	AT5G28040	4505577.34037616	2699599.83521672	9497360.25634711	5842452.03125	849372.944057904	176166.49374067	-2.41	0.007006178750288
Q9SIL7	AT2G20520	113559.830238796	355067.550169459	1198421.25459321	4195627.953125	73350.0456212975	3728306.13067281	3.39	0.007089935019855
O22224	AT2G41620	26732088.6231831	24351732.1155175	40427286.2456027	65194173.9589844	95320513.4002227	82350356.1371718	1.62	0.007257960091153
Q9LSM3	AT5G65520	2890221.98230799	2830799.73260891	6264625.96144202	11179853.28125	12934448.2949616	11835694.0919113	2.03	0.007379184719732
Q29Q26	AT2G17390	27965407.6733358	20363091.4062174	21210969.7310678	8647364.5	4951882.30022607	6978156.71455702	-1.6	0.007407640866079
Q9SZR6	AT4G29960	466558.170644332	324770.890568813	333515.522085264	3712351.4375	2596524.08732441	2943135.53520822	3.14	0.007664875592224
Q9SKL6	AT2G15220	123836.015577199	285661.286227138	1342603.82227169	3040179.1875	2552310.97416965	523950.417702353	3.16	0.007711151950632
F4IYR7	AT3G15410	3929604.08607239	3933680.13941291	12180674.8499652	14911693.03125	14085242.8417935	18201729.8551763	1.92	0.007739747391125
F4J043	AT3G15880	806238.653161154	2246096.26157985	687043.634597451	3147275.03125	5671691.31773293	6119067.55523872	2.81	0.007841753719562
Q9C5U2	AT5G35750	2635694.74030856	395506.180896503	479274.374410535	5370254.71875	4054089.60727377	3916432.11377989	3.08	0.008023461107253
F4IHR4	AT2G28210	408000.220543065	880026.544908048	30409671.3470115	653724.15625	5811005.58095686	34371844.085843	2.72	0.00812467802664
A0A1P8BDS3	AT5G44480	52939721.5679918	33309062.9684108	466530018.08616	137351254.8125	150494051.472142	446967241.968367	1.51	0.008131056204065
P56795	ATCG00810	4475343.00883873	5791406.96413878	3099264.44119169	5636014.71875	20307493.1784229	19112822.9641832	2.09	0.008364180442923
F4KGW0	AT5G10480	32921812.4817	31113844.9227765	32279021.3921727	65903536	97456297.0825655	95604399.7790688	1.57	0.008411050204705
Q9SYZ9	AT4G34340	1322314.35429883	1609627.75357968	924969.47405216	158038.21875	224317.417478497	0	-2.81	0.008419548794792
Q9ASU6		22273712.7225175	30740570.7980219	28215602.7828633	10886738.625	10041821.054642	11825777.6301198	-1.37	0.008608030747069
Q9M1Q4		51530.0014954416	566025.550757461	30953.3840927596	71492.1015625	851389.230117449	396075.195033574	2.94	0.008694629643067
Q8VYK6	AT5G58420	55523049.0503195	51914019.6174318	30626718.1192832	26043448.125	20853871.1510123	20846577.7748492	-1.32	0.008754858152019
F4JKM2	AT4G34230	10267418.436625	12775110.2177802	4299699.15966916	2799768.5625	3482008.47121039	1082546.37134098	-1.87	0.009182755028046
Q8RWH9	AT4G37130	878598.057418824	1528330.76489877	4553455.39192196	8371840.6875	10551842.9881413	7447372.71164035	2.45	0.009249456140712
A0A1R7T3D6		12432068.4492504	12714472.2131337	12246221.1348099	4076914.625	7152783.54709288	4307104.96587509	-1.53	0.00995755787441
Q0WTF4	AT4G37400	4281797.78538971	4067487.29260615	11469150.6953012	24762729.5	11785585.8023066	15696491.5017648	1.87	0.010499049266716
B3LF89		4747890.41088292	7176808.20019341	546407.879786874	1191093	1763271.06420849	832665.40181706	-2	0.010715359456679
Q9SQG2	AT3G04080	17261234.8396296	14977441.4009036	24815828.8372428	48327544.71875	54278836.9586457	56205512.5163705	1.65	0.010746649263421
Q945K9	AT4G34150	6809679.22043466	3685780.69936456	5236622.56076276	896838.796875	2498451.44240391	1092455.35776864	-2.26	0.011208231033888
Q84P25	AT1G20480	28038740.8690686	16343915.1371912	8571281.17421821	2038453.515625	7065246.64892194	5798291.12475766	-1.5	0.011408475976232
Q39199	AT1G79050	7044313.79380423	6763036.79393662	6684644.52959808	1777765.8125	1679027.18448199	1803084.37147529	-1.93	0.01146961173421
O04193	AT2G39900	22005028.1680207	87828185.9025467	21851998.3346805	8051690.953125	7680716.20238968	8026220.28660168	-1.46	0.011628787363779
Q9LYS2	AT3G59140	1638449.7372489	3030536.81168552	9180215.2809535	6162265.578125	23071218.7227836	11779544.032727	1.96	0.011640377042587
Q9LW27	AT3G26830	61283046.6842863	47221384.5719405	53026972.6165131	177747868.875	146119819.823726	109516070.954253	1.46	0.011687720214207
Q9LTI3	AT5G59470	0	23145.9637691319	183305.074982629	479830.0625	573922.569668239	516645.352902214	2.99	0.011937144354811
Q9SJM7	AT2G36310	711106.161318038	243951.404235742	184700.572704488	1835061.6875	2115210.22924482	748964.458862188	2.91	0.011941235176376
Q147R7	AT5G44820	593433.518981542	476776.25900933	489496.352858916	4262773.015625	3889413.0089341	3568305.47388147	2.99	0.012043228947509
O49570	AT4G31200	7674868.26868096	6004847.81444303	6629117.95859309	1506037.734375	1615618.720135	3896861.48553118	-2.04	0.012157990620429
Q9SRM4	AT3G11200	21034591.6687682	27585244.3559768	15368837.4142318	72372127.75	65992874.4558424	69033916.2232145	1.71	0.01220812317192
Q9LDA4	AT4G08780	3926798.60438504	3867024.73855682	3533443.48267971	15146652.65625	14096451.602758	5376811.29253998	1.87	0.012377604840563
Q9ZUN4	AT2G19590	7688389.96251989	3151582.65031271	1415695.35533934	2502624.4609375	368978.346471576	425313.987914335	-2.89	0.012585711606466
A0A1P8B454	AT4G33200	33471440.8122895	23964546.3329143	28243643.7708755	78736800.0703125	81071112.3801506	82693891.4144025	1.52	0.013551081089677
P37106	AT1G15310	0	72318.770984325	0	453170.71875	549434.037395039	778364.020418426	2.93	0.013557793320522
F4K6N3		2361685.61825349	2605847.17138729	0	11420474.96875	9470075.13841275	18993170.4918434	2.2	0.013591562554794
Q8RX67	AT1G72130	0	435471.633382418	864037.167096361	4041313.46875	6677972.1614947	2503652.57053658	2.72	0.013673598867578
P60112	ATMG01080	0	0	651113.676605497	97474.8984375	294043.524400655	38252.6407533778	-2.74	0.014215085709106
Q9M214	AT3G60450	4255346.56573331	4248176.91632072	6313377.54489795	15144485.375	15098865.5295695	8479763.60799616	1.83	0.014653806643344
Q8LA16	AT1G14510	9690234.56933645	9414068.84029723	9501937.40690494	2374912.078125	1939024.85291341	16778798.6808041	-2	0.014783530986255
F4IZ80	AT3G49845	7361922.66883511	4147525.50583791	5541607.48246406	1308933.15625	1428432.08955966	889336.744329165	-2.08	0.01484570842922
Q9M8U2	AT3G03010	15079926.3974942	9051566.6431175	11531633.5333877	34665172.640625	33530246.2381073	35804750.200047	1.59	0.015416981974402
Q9FNZ1	AT5G51980	10564869.1682251	15306372.3439245	6891053.90757995	38574762.609375	31911420.9332112	28405927.6265897	1.59	0.015701043136843
Q9SV21	AT4G31480	33650891.8701597	28929982.5771781	19821296.1856103	12893960.65625	10224941.6613297	11751312.0301648	-1.3	0.015755455539638
Q8RXL8	AT1G06890	9646743.3789746	5948885.15313653	10570179.5436089	30845619.53125	35032715.6645342	26229233.4480292	1.68	0.015871029390085
O23006	AT2G17120	129451727.702567	135202669.823872	101806358.736977	86929666.328125	58712739.2718697	60515069.6723613	-1.1	0.016252882624665
Q9SU63	AT3G48000	24750440.2179489	20786487.0462973	9194441.92131477	9073572.84375	7136830.49491063	6079825.35715301	-1.54	0.016834480921271
Q9XF67	AT5G04510	3753122.64252309	3664197.18701075	3361281.54232574	459492.25	926101.054845811	573148.814022018	-2.68	0.01764322655496
Q9FZ27	AT1G02335	1157373.21349618	1773881.31226536	2143337.11263439	8414480.125	9596540.36844076	14178232.1861151	2.44	0.01764322655496
F4JJ27	AT4G39850	37884095.0992107	45063082.5176312	57301780.1259589	77588787.453125	130076120.205603	133056871.523639	1.53	0.018087081654254
Q9M1Q9	AT3G62150	519464.960504723	4864356.43577237	3562233.52954223	12770130.875	12727368.3423474	9893113.08729104	1.84	0.018224215271056
Q43387	AT5G64120	0	0	340969.933499055	435564.21875	4909140.97820071	2568852.32645994	2.91	0.01827560753594
Q8GXC5	AT1G75560	1756574.53492094	1792370.38011013	114065.111292365	267893.9296875	601006.487611075	296462.500135211	-2.57	0.018462872831741
Q8W5S1	AT5G27620	14290700.4052986	18275689.2110571	7435143.76401606	5531005.1875	5479971.35272616	6624837.92676644	-1.37	0.019243650364526
A0A1P8B1L7	AT2G04100	91482.3732771119	132134.382892551	629864.976515116	824569.09375	1291716.24598282	1004964.58908844	2.93	0.019243650364526
Q94A05	AT4G32120	2677521.1333132	350316.413092627	1259563.5305378	6671149.859375	6029139.89108882	2988848.18774377	2.26	0.019602098685746
Q9LM13	AT1G22170	20764617.295729	22435202.7475757	24052501.5931686	9821238.765625	8788841.08107514	6828381.54316841	-1.35	0.019686652947869
Q9FIJ0	AT5G47910	47254590.3915992	38198742.889695	59904003.5966062	132288159.984375	136215600.612093	84045926.5089	1.49	0.020091734951335
Q8RY80	AT1G57600	353323.287923163	223130.315850015	225618.890228277	1640418.59375	1742982.8223278	1645253.9878441	2.87	0.020269272352261
Q9SVZ8	AT4G25870	72834968.6467688	121979458.367364	58613963.331383	29845102.6875	31566671.8786425	29426312.2956316	-1.29	0.020320326923345
F4J298	AT3G63500	0	116330.801973632	0	803433.15625	1185465.95694031	425064.979966733	2.79	0.020492442681789
Q9FMG4	AT5G64200	14951909.0486948	20465443.9509744	31118981.1524833	7954130.09375	7016655.15089837	3029152.66114162	-1.54	0.020574202458573
O24658	AT2G43590	215741.772081016	951048.29150763	1820253.00597028	5357922.5625	24842693.5926683	4026593.88159641	2.49	0.020986484020406
Q8RWV9		19596832.7191658	17691680.0164354	14863072.0509237	50224998.046875	50347099.3488232	45782432.0300982	1.51	0.021281489847325
Q8W4I4	AT1G70300	1038251.23558574	4854482.90230199	11574316.3510032	20022759.4375	15778669.9073847	17178386.6827598	1.82	0.022337922281326
Q9C587	AT5G22010	355184208.121005	233925066.425683	230204920.586655	92597759.671875	105245718.547191	99860495.7439401	-1.23	0.023176518426546
Q9SGP9		5032111.94071112	6172660.02268039	11730971.3445942	25699834.0625	22519977.9258117	20775210.8534291	1.87	0.023469160194447
Q7Y1W1	AT5G01590	123943276.851899	70663205.0945771	112651253.106565	51244561.9375	36988752.5577875	140033517.963265	-1.14	0.024063535045533
Q9C9Z9	AT3G08550	82982942.0316259	64354945.2108625	44549649.5500212	24304784.9375	25905404.1458471	35752865.759474	-1.31	0.024081249445867
Q8VY59	AT3G27200	3045374.68351179	1385450.47129057	2259230.96987882	956452.5	393068.664870239	461130.883385397	-2.29	0.024276261425079
Q9FKM8	AT5G38344	5017266.08093946	2853195.31942543	2112596.0448048	2075398.65625	491728.965217233	247221.132561705	-2.54	0.024904345882069
Q8GWQ6	AT5G63440	4403702.35891364	2524780.58808352	5099761.00640742	1031852.9296875	995691.620992527	1925530.40565586	-2.09	0.02573940945644
Q9LMA1	AT1G19250	1469395.03488446	660073.914878143	1315385.2522075	6280565.0625	10161043.183619	2189445.52461154	2.26	0.025776649202715
O65787	AT2G24180	77524009.4015067	73813187.4282018	103806808.937982	187977155.226563	190423783.872888	133163257.014222	1.28	0.026522001152961
P93017	AT2G33830	3814166.08970867	918252.857923	6226163.68601731	2581393.625	601502.499581579	725779.380985466	-2.39	0.026678029904118
Q9FX97	AT1G49710	148688800.471234	128310179.241138	114169519.869568	66625247.15625	57312605.5927576	61145929.6877866	-1.07	0.027821479943408
Q9M146	AT4G01220	7832711.38141639	4965789.91376441	10527824.4872696	36741956.5625	25732999.3828103	18404606.2204086	1.72	0.028299684836493
Q9ZPX1	AT2G18390	2936119.05290534	3000414.524622	4049581.83816841	10799419.4375	11124188.9124195	12601865.4264257	1.89	0.028363216751446
P48421	AT4G13770	151390076.060506	105337754.259965	220762250.769174	74713840.984375	53039098.8360038	116446340.255962	-1.02	0.029078696746456
Q42602	AT1G64900	108674.695406391	215722.516216295	1124696.11015136	794984.890625	2012848.7191273	1521728.50338868	2.82	0.029092678190107
A0A1P8B8H5	AT4G23190	3902525.00745266	3217379.06150235	4653934.30176616	15531668.75	13236453.5136379	7034143.08938383	1.76	0.029134211150425
A0A1P8AXC4	AT2G39330	1310265.01920479	787828.772077717	1324328.32325935	309495.65625	206902.889690183	0	-2.37	0.029416234176913
Q9SA18	AT1G31230	55835138.4605721	92288012.5140371	21227196.4758	25207406.40625	22246717.9011022	27045127.1699554	-1.15	0.029920557433072
Q39163	AT5G06960	2614802.86240339	1512625.24822041	6471261.85017002	1389695.59375	217401.665257391	0	-2.25	0.030021003839153
Q9SN38	AT4G18760	19750330.996692	40188626.9816777	49107493.3844487	15545313.75	18616147.5600584	21995197.1561299	-1.11	0.030977142885216
Q9FX85	AT1G49570	7011324.75220097	2039710.15978308	7143367.7163276	31981046.875	23182677.2415385	14760394.4708568	1.73	0.031019547392327
Q9SZJ5	AT4G37930	30943295.4744902	31607280.3671102	35966001.1905407	42761518.28125	83492584.091014	104047269.903813	1.4	0.031892600463645
Q9FII7	AT5G61460	223351.062608267	182098.099918698	384992.446267316	730904.96875	1323468.53635912	1452090.02534463	2.57	0.031939479785738
Q9C5E7	AT4G25880	8071384.70703679	7494191.53047558	7350071.74251461	24382700.3125	23994542.4226609	20466590.853821	1.68	0.032117201112071
F4HSX1	AT1G27450	42074900.7796493	51068091.750346	56600896.4098986	24573308.15625	23883260.5680786	19449814.7063372	-1.1	0.032184737162116
Q9LFV3	AT5G15730	5549534.2277253	10440172.3582046	5127595.45397852	7566860.125	52968543.9894727	19753801.1601766	1.83	0.03218840299241
Q9FNL3	AT5G46090	12372754.2898922	9293425.64912671	12683900.2702776	2615846.84375	6326766.35215051	4874779.00909653	-1.34	0.032402240486977
F4JWQ4	AT5G25270	132750.927371095	277140.652002686	482678.611911441	52326.72265625	371876.107002365	56157.6215834286	-2.3	0.032501056954184
Q9LIG9		62694310.7076806	73312835.5616386	50941454.3200879	136812048.71875	162165408.977	156081762.226955	1.32	0.032927329190877
O48723	AT2G26560	5862261.49588884	7361767.7032541	5612616.58660797	75198403.875	21678435.6255407	10975326.3262471	1.89	0.033042885730039
Q94AZ2	AT5G26340	490974.394247103	1346113.26908154	2828769.88154381	6028122.5	6602512.8774133	2751119.33601098	2.16	0.033154528855827
Q9ASS7	AT1G58030	329020.690386803	1018173.91865726	3785124.24162561	5550245.125	6792106.12824986	4404276.45644471	2.45	0.033171788960154
Q8LG42	AT2G37975	15343771.9731782	20857275.1105871	46190119.427054	10729834.25	8161403.01534696	7476666.27389123	-1.35	0.033402477947539
Q8GYC5	AT1G24267	221525.733700992	151424.710419571	528067.553637418	1348861.875	1298171.92586344	862951.359717592	2.55	0.033632689517937
O82264	AT2G47970	710446.687766246	3824897.16952256	846025.035717672	6028971.125	4638495.73061093	2860670.26119244	2.45	0.03430489278096
F4I259	AT1G69520	0	325699.011778501	0	1952892.125	2913463.32317414	1678848.07952581	2.58	0.03447699092669
Q9C8H0	AT1G30410	0	0	2009783.90974469	268607.34375	517854.319656081	444196.176736974	-2.18	0.03447699092669
A0A1P8BCS7	AT5G41360	2511781.8498243	2482412.93633935	2515212.9995203	545926.3125	396852.260131292	796579.567318354	-2.2	0.034777975623312
Q0WPQ2	AT3G23150	19223468.080821	54564781.4387186	13396034.8049496	9380514.4921875	7470116.17712726	5795331.69300665	-1.36	0.034924562858353
Q9FGV4	AT5G47950	930113.915064703	506325.200215664	1340938.91754915	4763866.71875	28991413.9274734	2201081.02029786	2.36	0.035537889849726
Q8VZK9	AT1G55850	21736825.2812925	38963796.8523772	42494235.8603175	99858428.0625	186118737.650608	81454325.9539951	1.36	0.036267463734853
Q9SDA2		2775264.97736728	1926751.59232222	562463.6897426	470367.12109375	0	336180.940789238	-2.28	0.03693976140991
Q9SGN8	AT1G28400	4462964.49449695	2068432.45636338	1115987.10644353	1152333.21875	461534.370874689	288746.014712183	-2.16	0.03752151987667
Q84WU8	AT2G29080	63505806.6091599	85208122.8466755	107556216.678265	180330755.765625	233957654.568462	202163655.427346	1.25	0.037828661658178
Q9LX15	AT5G10130	11088545.4313754	5800717.84014934	4828161.25244533	28132100.265625	21415118.1096356	18738570.3531725	1.88	0.037890500059264
F4HV06	AT1G34550	4785258.30605276	4089481.49579677	7027136.28999311	14760071.140625	20164828.6239288	15203377.3370521	1.67	0.03866889009511
Q9SD86	AT5G07980	7465021.8541737	7919907.47357977	3985393.66214202	1295528.890625	2175629.74036739	2184388.13635082	-1.78	0.039414191942617
F4IQ05	AT2G37130	86621666.0382277	104687884.586961	89827654.6257919	52198216	42520466.4281685	34677457.577282	-1.08	0.039664306878686
Q9FJJ5	AT5G62500	4772101.86627528	16904617.9743777	6480602.04162352	2222192.40625	2070413.3441547	1851412.5503429	-1.65	0.041396479852789
Q5XF81		9617244.19858146	12685973.3528066	16196658.9110298	4958152.515625	9569341.9741945	5173959.54862251	-1.29	0.042225253797201
Q0WPK4	AT1G79090	30413153.9411719	17257518.3887852	20379793.6762278	58126294.9609375	55233899.0879566	51405841.4276251	1.44	0.04239232878179
Q9STY7	AT3G47360	765098.723554994	317411.676200923	383677.775571735	1048057.3125	2335423.24735523	2766881.07780716	2.61	0.042518003908872
Q42342	AT5G53560	297461648.951961	271466498.545313	401615263.388698	612444391.59375	629645273.851339	589061728.292715	1.04	0.043088982393239
Q944H0	AT1G48600	145615852.602058	141006088.019013	117582702.392251	96313702.359375	73618552.902995	66875865.5053632	-0.94	0.043695157741299
Q9SZR1	AT4G29900	37440402.8400201	41972314.0680294	52445735.6479553	103620026.1875	115265794.261942	97180559.9556763	1.3	0.043695157741299
C0LGU1	AT5G37450	74887255.0560858	89566057.8324916	65298410.7983069	139236950.03125	173819433.247329	176432655.085577	1.21	0.043848152350128
A0A1P8B591	AT4G23510	22883156.2383427	20551490.4337521	20077630.0945876	55388290.953125	55692418.5174229	60819490.0744562	1.44	0.043873031005865
P14891	AT1G76490	36799845.3777418	34551862.6035972	32751057.9743584	12575276.7734375	16296573.9842709	25201689.7110409	-1.08	0.044017559783954
Q9T051	AT4G11830	0	0	5440490.38984875	2115702.25	1320698.91369879	1551031.85227372	-1.81	0.045793278226098
Q9SA87	AT1G30720	4504641.77156905	3110860.00972906	1920254.2836553	10882923.0625	11822162.064817	7430578.05443452	1.81	0.046295336986332
O80946	AT2G39350	35023406.1328571	49328102.5156811	12289092.7195906	18621152	17097732.1376139	17465934.4343639	-1	0.046673789676244
O81488	AT5G26210	10495226.5255593	10316821.969301	9738207.2184229	4065589.09375	3605001.40940071	7321098.05333895	-1.34	0.047243984843108
Q9M2H7	AT3G58390	262060.333965255	511620.001181265	370693.491136061	85741.15625	64529.7357273619	1262593.19783178	-2.11	0.047886442490951
A0A1P8BEG1	AT5G42390	7972037.94211116	6409103.08954448	2640708.60305656	2015190.90625	2012392.91169226	1446714.80356782	-1.67	0.047995605717908
Q9FE78	AT5G05470	157787894.890814	157702185.976527	105574275.669235	97261849.90625	84479096.1445085	64917122.2419108	-0.9	0.048646563097682
F4J381	AT3G51050	73791837.0402482	66565550.847517	86098086.9648156	195132689.109375	168841880.758629	135898704.92205	1.19	0.048785091627487
Q67YL8		4817666.5249898	5303394.33328686	13630292.8274486	17346782.7109375	20010695.5653264	11249516.7051174	1.71	0.048851523348872
F4J3F3	AT3G57570	4512921.91470638	3064923.39467137	6798008.11865664	1170444.71875	1276396.42823687	1701574.1816675	-1.82	0.049719040869302
