Accession	Gene ID	Abundances (Normalized): F1: Sample, rbohC C	Abundances (Normalized): F2: Sample, rbohC C	Abundances (Normalized): F3: Sample, rbohC C	Abundances (Normalized): F4: Sample, rbohC Cd	Abundances (Normalized): F5: Sample, rbohC Cd	Abundances (Normalized): F6: Sample, rbohC Cd	Abundance Ratio (log2): (rbohC Cd) / (rbohC C)	Abundance Ratio Adj. P-Value: (rbohC Cd) / (rbohC C)
Q8L607	AT2G41670	166116900.791031	178982984.328222	112338172.876129	174633093.991964	88062813.3086394	73713118.2265336	-0.92	0.003618718854888
A0A1P8BDS3	AT5G44480	60118045.5400457	191901368.641482	62305215.6647282	120280363.070894	441667227.476206	77321042.5688642	0.95	0.003649859581914
Q9FHM5	AT5G51590	506814.750445704	378944.069040203	406848.304160089	1757897.88823441	2311787.78177942	2154165.52503703	2.4	0.003695200635879
O22270		46112181.7073251	14241880.0331666	35960586.1961922	32289685.8588203	12244773.6353659	18166048.9400816	-0.99	0.003993557766497
F4JWY3	AT5G41140	1348828.03973164	0	0	5138424.49099418	1074838.70585256	4827103.95412281	1.84	0.004044499884438
Q949Z2	AT5G26740	24843086.2317139	68359312.0939125	22697983.3203075	46745029.919616	53242631.6203153	51303701.1093786	1.05	0.004173437364998
Q9M047	AT3G55770	10639448.9310507	12061324.8837156	11948607.9658735	4659565.01714427	5748367.72551063	4607126.71723632	-1.36	0.004285748800848
Q0WVM7	AT4G25520	15968292.5317019	13886887.0190517	18120892.624338	44509751.9854314	30434422.3462151	36316367.6318757	1.19	0.004299195764986
Q9LLC1	AT5G15530	56583975.1016069	34659259.3315871	31535013.3539026	68394311.8116755	45057389.3490589	87605463.7544265	0.98	0.004387413196234
P48623	AT2G29980	12026121.9038874	9835463.84007022	7844557.21925919	3444150.65267416	6348594.00203758	3409535.17588179	-1.51	0.004556332197409
Q4V3C8	AT3G10540	3916914.65632509	5279603.87182631	5618925.57437878	1619890.6837636	5301861.51407342	1448922.28504697	-1.7	0.004591706875008
Q9FXB0	AT1G56580	11409151.7359893	5662203.60012306	11812023.7848889	5147272.81762014	4415493.19302691	3518970.59621056	-1.37	0.004721484332856
A5PHT0	AT1G24485	796687.855500777	55522.1846155437	553736.968721261	2962699.67013108	2392797.35969407	602575.966192357	2.11	0.004794216307817
A0A1I9LPZ1	AT3G50370	14949460.3105968	11168821.8590606	10089494.93664	25390967.1165869	25985141.1983006	12009171.3884421	1.18	0.00485510266416
Q8W4I9	AT5G61960	486571.988305953	1349337.79375012	942321.788684709	5002132.4847116	1613038.70838437	4028140.36423219	2.1	0.004997839644559
Q9FUP0	AT2G06050	424063.571314685	762742.31061012	316327.480243038	836254.801101299	2195766.87043268	3593157.26234884	2.37	0.005093824866586
Q0WNC2	AT1G08530	520895.549761249	893626.725783303	1110799.06794831	144473.928833689	0	0	-2.63	0.005151749136736
Q94AD1	AT1G48610	33141678.8587906	13141861.7042495	4541052.0763914	43833811.5054626	21163414.120731	30382638.6245748	1.21	0.005333150072142
O81472	AT4G08480	1594933.00611787	16318330.0656928	2509291.29576779	0	4172341.63053307	16829641.7248962	1.74	0.005662013258375
Q941L3	AT5G61900	28107474.3881462	28843143.3431516	50172978.5191991	34394221.0658662	58543665.6609114	62175959.5937906	1.02	0.005738957892112
F4JMW3	AT4G29180	2151059.68513674	6872599.19965363	2480931.29500384	2218538.35223118	11784317.0568808	8335900.33929972	1.75	0.005825442535951
Q94K78	AT2G40765	33234511.5272164	28380961.3653595	37181921.9248119	64483179.69743	40984252.1467758	65459416.8951918	0.96	0.005973583596262
Q8H1U4	AT1G06590	187211.721567415	215710.527556344	118856.639917971	0	2135049.27330771	815786.201676812	2.82	0.005994791565752
F4HWS5	AT1G48110	98360.681133074	132775.473130293	190455.758931965	386939.993745046	841318.039695467	1485937.70454496	2.66	0.006059646234602
P93313	ATMG00580	19552557.1402254	23157100.5336793	23791450.8772572	10587867.5131127	14070070.6819937	4277134.53233841	-1.13	0.0061978655886
P10798	AT5G38410	933700.585065088	595725.900831836	299447.265703825	2883885.12383963	599309.728605157	2517356.34998519	2.08	0.006427897180921
A0A1P8B3U2	AT4G16260	31177095.899238	27726271.3711617	23737237.4928708	126679763.191505	34147511.3822423	55446612.6632449	1	0.006485692258519
Q9SZ21		819208.517782227	4948523.9316324	2990524.77803143	219530.477110312	2720305.33704008	0	-1.95	0.006630873346451
F4JI14	AT4G01350	10147642.0548009	11380331.5072379	11483842.7613854	9852952.60601889	4411338.56038611	4076963.86150178	-1.37	0.006700426873597
O80912	AT2G38390	16514322.1287284	26464132.3562575	21128834.9892629	19039349.9155542	49458403.707226	44394159.6679353	1.07	0.006728538082309
Q9SRX5	AT1G02816	15054033.8464862	9569702.45448618	9799947.56281886	22066024.344311	24597317.6564211	19386561.0788879	1.17	0.006847419264288
Q0WTF4	AT4G37400	14082742.5835311	26751711.8308294	30018626.3518767	7076555.20340745	22084370.3464329	0	-1.1	0.006850604144192
Q84K05	AT1G54770	6320447.54106836	8141837.1915032	6865850.00798889	1979962.54592189	7063119.74131052	2129298.57501421	-1.69	0.006859530484419
A0A1P8BHH8	AT5G44530	1234546.52123775	2322638.34647588	0	10213865.5048508	5684469.44067086	6017196.89661747	1.83	0.006927214749069
Q38873	AT5G12480	8859127.93564765	5076573.1226718	5110369.32863892	13584080.7744101	13781856.7231013	20194075.2716384	1.43	0.007587601527997
P0CJ46	AT2G37620	63101525.1907984	40379263.0219213	67886769.0480045	61165611.8692724	34753884.9807147	20838455.0213607	-0.86	0.007846940047468
F4IBS8	AT1G78620	4348603.08169452	5521577.0963481	4670154.39359179	12235612.5630799	13200323.4299013	13692421.5553667	1.5	0.007896112121541
Q9LK88	AT3G27890	26575595.0796934	30200459.0358838	10739341.1474755	12625025.6322728	14889203.4998764	4764853.70980176	-1.07	0.008081126586953
Q9FGK5	AT5G47520	67827989.189888	83403894.2162672	37687809.614286	37790059.9302688	47193273.8159089	20572266.5365054	-0.84	0.008109669501467
Q9SJ81	AT2G04780	152286453.838842	124310682.968229	132457283.215314	57416925.4078759	73121871.2240169	133143896.062258	-0.86	0.008271854598857
Q9C512	AT1G51590	32563794.5474184	24729856.0106612	28284367.5093819	56114702.6654854	55993428.4969794	32988623.2744502	0.99	0.008290828681212
F4JWW6	AT5G41040	7037639.34639442	6128432.17676486	15671423.0190966	17607797.6025357	18338638.9565066	7983833.38172841	1.32	0.008301571230907
Q9FZH0	AT1G41880	46512590.6328135	45353469.8634949	27243120.0879223	24279322.980542	35633564.369013	8860374.58599677	-0.9	0.008415196353905
O64474	AT2G19110	26923367.3464777	23658981.9523031	27692666.600362	43773640.6876604	60246406.6983242	53826848.5196517	1	0.008515940057362
Q8RWN5	AT5G04280	15158149.2253385	8252009.51658829	9524016.21515812	30309667.7647542	21222536.6014041	9842161.54745634	1.16	0.008991390460865
Q9STX2	AT4G24220	34515238.8217351	79431435.3377552	18465797.6424405	27591982.0372117	14798863.6885871	17487210.9923726	-0.98	0.009177002256275
P38666	AT3G53020	438073280.136094	533818410.819405	261961047.248792	299015641.776915	252505536.830208	250232346.209341	-0.79	0.009488624851717
Q8L778	AT5G09870	20659814.1332156	14731322.122745	6131812.50257966	4614470.25655682	6269957.21124225	7297154.32398736	-1.23	0.01039530093523
Q9FN75	AT5G17760	0	0	97776.3717380429	602546.371082197	755745.641197953	51675.5181101029	2.62	0.010485164189755
P42645	AT5G16050	73926905.5667594	53778849.4490397	68675112.3503043	124776681.328493	53673889.2141177	193852135.733621	0.86	0.010616372359833
O48723	AT2G26560	2604010.6759575	4252796.96334226	4115380.75012552	6520408.77351237	13290229.6693395	11268514.9184553	1.45	0.01078937454977
O23264	AT4G14030	21834300.8993336	31934178.7053043	30918115.1690013	59625542.0236602	61358396.5696722	14349361.1026712	0.95	0.011214607573566
Q949U9		319291650.447398	305835081.974307	338264144.154269	186342704.78866	142039548.34372	215675971.320321	-0.78	0.01142194620576
A0A1P8AZV7	AT2G36330	17238361.0081972	20649124.0702242	24334001.0576091	9537611.41338786	18425014.6718111	3840227.2105123	-1.11	0.011867352848322
Q94AX4	AT5G06580	117497.334105826	819984.489606311	99810.1420035516	1035095.45043585	673309.78129412	316639.610849441	2.52	0.012259230294143
O82266	AT2G47990	61755156.8180817	76948865.0857744	78213096.0847729	45436423.3952069	74546923.0586161	44396791.0897478	-0.76	0.012358557612086
O23049	AT1G05190	80465263.6945168	15056131.6411442	11494694.7773864	6489927.55423661	11600247.0041721	5990463.34708076	-1.21	0.012563697706544
Q9XEX2	AT1G65980	70655463.5970601	50205990.847681	46044680.5947533	34343660.8041977	27880825.3282253	10157390.8521122	-0.85	0.012832048004988
Q9FMA9	AT5G38930	33303901.7142217	124284275.842657	60767543.418594	110182852.67262	140715088.126042	95357582.7019038	0.86	0.013101229185745
Q8RXW8		206799.720056579	820378.396132705	205874.624714946	2259817.46108319	670716.762540951	0	2.57	0.013291886462511
Q9LEX2	AT3G61040	869777.04724396	381065.270164601	0	2214367.05344811	2327421.50058615	2306800.95476189	2	0.013353812271352
F4JCX1	AT3G54440	1257584.48011279	2193948.93666634	3429917.33966511	386839.14314792	557679.572362022	905977.683885758	-1.98	0.013402615174528
Q9SY76		1250213.457423	2042990.74793092	2561883.82538518	7034753.88990304	5773837.44683473	6631726.15078175	1.7	0.013649822013938
Q9M0A4	AT4G30560	64187370.0640724	52032285.8190806	30899046.0962022	30915042.9560132	28517970.7172644	26075254.7389984	-0.87	0.014076392164804
F4JL28	AT4G22140	3446126.58683487	7608515.19535044	28616348.8976435	2795058.54009313	2525771.28180694	5859890.05721222	-1.44	0.014699685356856
Q8LDQ8	AT5G24165	22892640.4784469	41403851.452199	19326043.4617894	45330211.3819356	35577369.3033822	58666005.7379502	0.99	0.014811642022384
Q0WUR5	AT4G33240	14780518.3837563	11596024.7584413	14559781.1615506	6445134.62368368	23773028.0554628	3024334.92900999	-1.18	0.016218744633624
Q9LZX4	AT3G60900	799697.809607316	883242.459383683	1957517.64684121	3318859.34964445	1003552.54967198	5674032.11051692	1.91	0.016413508327433
Q9FN19	AT5G67320	62658203.5658664	79088662.741987	52303360.89427	190201416.950582	111750443.53767	65940684.5445011	0.83	0.016775551379516
Q9FJA6	AT5G35530	281960271.557835	333183352.608599	217764707.859336	165364703.312726	238887924.215009	102594070.217834	-0.77	0.016870437495572
Q39219	AT3G22370	2624158.5156184	5733030.00370133	4052928.31489306	7338989.06790108	15977707.3184769	10613385.9797348	1.39	0.017194228714338
C0Z2J1		2346597.42851687	9820266.55491846	1009080.09504319	1077634.23664513	676373.556178329	152274.890469983	-1.79	0.017313285263442
Q9M9N1		4076177.20296382	4607379.21690434	3576276.86649109	1450885.18363702	0	0	-1.49	0.017313898577764
P57751	AT5G17310	1069887.60474957	372162.710107738	758204.893646212	3435330.50169932	2910013.04056211	764857.649272069	1.94	0.017419083968902
Q9FPW6	AT3G61600	15455672.3362125	27075344.2787913	23270332.2387066	27045117.9920038	46497040.3088768	45331898.6505533	0.96	0.018120173658244
Q9ZV49		13103421.6148687	24273966.6569778	24846586.7373282	78199937.8763723	46223736.1658583	24117645.3088183	0.93	0.018344589828028
Q8RVQ9	AT1G01370	2581152.2300704	2028112.72751098	1312074.5355503	498287.909417524	525930.700592985	382403.850183874	-2.03	0.018577699208949
O23547	AT4G17030	756583.237835807	1884681.23676892	783621.446846664	3463591.90620941	1138878.07068257	2944953.80080851	1.91	0.018683120583955
Q67Z52	AT3G10220	268860.641087732	97809.7530164117	89872.3813920573	663063.805831219	420894.287776458	0	2.43	0.018881701369788
P92980	AT4G21990	3438295.83138295	3347234.61996223	9620249.65115285	8871463.58935029	9438640.33001698	11997555.8043403	1.46	0.019274340763141
Q42538	AT5G56760	8019858.64200367	8084321.64296762	11531376.0013938	18264089.5707898	21666228.1988559	6709345.53577067	1.18	0.019279157285899
A0A1P8B9Z4	AT5G23990	9832024.70292926	10666525.1407601	9722125.2213133	35854750.7119289	20681026.1385449	17540063.7591205	1.07	0.019929705735614
O22822	AT2G43820	2979722.76304923	2564502.43328054	4445996.72831736	8866372.24051142	5540307.68652511	9506917.75603687	1.57	0.020104648808477
F4HTY0		55822895.5620703	48332906.3167165	28279520.7877412	35538941.2998876	27312890.7195518	17589289.5242587	-0.82	0.020762103356749
O23596	AT4G17550	4949954.95644068	5190890.38127964	4205774.92875643	3937254.1120451	1271760.08626201	1847810.39358714	-1.42	0.021071954710559
A8MQR2	AT3G26440	39218613.361668	63197833.0071849	43163707.0489171	24416551.9466124	68066013.6056529	9276521.50808868	-0.82	0.022139972476862
Q9SF87	AT3G09850	3842634.91449997	3411102.03190065	2996425.14674237	921057.693481952	997848.260852751	1696643.01367705	-1.77	0.023012405559769
O81806		2293848.07554814	2246656.12268953	1345066.6227566	204265.569229394	712931.000432946	633350.751665675	-1.83	0.0237225384862
F4IIM1	AT2G22125	405213058.723727	417981262.72251	389902323.191654	241138572.97302	350218544.17287	244816740.362958	-0.73	0.024117525195387
Q8VY98	AT4G00355	974388.320752566	541902.551678186	0	2668896.3098878	1772176.18216447	2633828.61619187	1.86	0.024463877738169
Q8L9L9		1264241.99851317	4798031.39526395	6550603.61592389	1895049.31699686	4789491.52703561	403505.07839456	-1.34	0.024615512928129
O82504	AT4G11130	1252817.59250146	4296588.52202598	1401031.00593937	9046558.05823998	3505349.58951913	4208131.34174422	1.59	0.025068974141855
F4JGB4	AT4G04200	1899812.12042835	3622428.52518377	4598429.26501066	1115365.92682857	2830662.65773578	360300.642472801	-1.7	0.025159305774417
O49596	AT1G20693	238297.447893305	1208133.89495205	102685.951809775	1527503.72228557	1101897.12422673	0	2.44	0.025318921242042
F4J7G5	AT3G11780	8958404.50201816	1402042.39612808	8607340.62515824	14463014.0895067	1745664.93387888	3245418.0077598	-1.41	0.025590348962239
Q5HZ38	AT5G60550	22878772.8607775	24406889.0997732	24638933.7092972	20280516.5538043	11114082.8193741	13062542.7117228	-0.9	0.025901876737801
Q9SGA5	AT3G02070	13544625.854189	8208546.38605944	13062005.0115583	16489357.2519829	26438488.2683283	28570656.7984431	1.02	0.026103438344238
F4IHR4	AT2G28210	602820.430608756	14022990.0604352	1086604.29805924	0	28614508.2407053	472914.434215869	1.76	0.026506616850332
Q9FKH6	AT5G35735	1251252.32900307	3236592.46183149	1791316.05864972	7412834.39963794	5426890.57684827	4528209.21790054	1.6	0.027576392845053
Q9SKU2	AT2G20750	13347255.3131208	4922104.39888407	8163383.67429521	4093085.78042558	3130068.5919024	2490622.24608284	-1.38	0.027616522582608
Q9SDM9	AT3G16400	18741546.0830377	14677278.2410165	15562498.8528034	21844041.1963076	32359757.3992954	30944263.371198	0.99	0.027725086088413
E0X9N4	AT3G63550	7152514.5043665	8439213.33773131	10574232.6392261	2512541.41662718	3201622.7685968	4343443.97068308	-1.4	0.027987247356428
Q5XEZ1	AT2G25300	2177227.60255077	389801.057341542	2069222.64011946	704126.311651928	565563.237598687	303803.391998861	-1.87	0.02858816069657
Q945Q1	AT5G12140	12320768.2941973	6441017.33391924	1729795.83901181	10839319.4183248	2272004.12660126	1407578.40101392	-1.5	0.028612578351018
Q9SMX1	AT4G14790	1932759.07656265	3265994.62135224	3234999.62001229	1857446.65306166	526784.921577826	1002927.25284924	-1.69	0.028911839532348
Q9FFE6	AT5G16370	1777568.84189312	1709833.38662297	4458189.7272286	4061327.39339897	4957855.67413505	4899317.1681696	1.46	0.028925610213336
A0A178VUM7		38297980.6439651	35908126.1183644	17865997.3715338	28592697.6363048	20571095.6241543	12364691.831177	-0.8	0.029030771991381
Q93VD3	AT1G30270	131973377.718304	157252736.268596	53560536.8867067	87575721.8732127	76547348.0990908	78885515.7868192	-0.74	0.029353163260506
Q7FB56	AT3G60970	351964.943458545	354310.245050095	370946.671735631	389327.41076356	0	15603.668132574	-2.18	0.031445748296085
Q8RWW8		30258599.4658752	16233443.407997	180816.502691416	553620.763878118	0	98350844.7087181	-1.14	0.032196945853992
O22703	AT1G60650	19389099.5944632	13145578.9238221	13471292.0252651	26833248.3072874	26513767.7329675	14593888.0468423	0.98	0.033602507356707
A0A1P8BEK7	AT5G22000	7394264.75493466	10810172.6497958	12382799.7606933	4810240.58478506	11409025.0665629	4364422.0121285	-1.17	0.0336148324507
Q8L6Z2	AT1G07030	832912.339823087	365358.41067698	1882743.77459232	2871578.00811635	2236922.11681421	2970019.14653537	1.79	0.033650117795494
A0A1P8AYP0	AT2G40820	28874489.1456573	9002109.55423995	16806901.9608382	14105309.4813022	7814288.83153846	5097563.6974586	-1.1	0.034134487799185
Q9S9P0	AT1G15940	1013884.20987541	1972952.41293079	391697.227001358	0	444878.578407664	97064.3506496686	-2.29	0.034134487799185
Q9FL51	AT5G06940	1258571.70181705	1411851.61691824	1326094.27986256	233152.210539816	9409978.68702495	271954.761079186	-2.29	0.034149943636868
Q9LET7	AT3G56690	6983689.82942595	9836341.93874748	8706905.54427521	3346105.98572154	11366057.0104866	3488845.70085904	-1.32	0.034684565263537
F4I1Z0	AT1G63110	38870989.8912048	5408583.07577704	8921731.34859897	3227854.69906835	3652589.68807374	3690522.37035849	-1.29	0.034741131948975
O23177		22350874.1503305	25124350.0608186	22899474.7768692	12090055.4562874	20161537.2027529	10498460.5952571	-0.92	0.034742570762746
Q9T019	AT4G11210	8636755.84285869	787208.735328297	5317715.91267179	4361831.56600326	1602109.32020872	2105411.31787304	-1.34	0.035094643750424
P02663		7846643.4483769	12372974.7329055	14619160.6271907	5849402.31566803	5722706.71230681	12752488.8975059	-1.08	0.036258655099289
F4JKB6	AT4G21900	34764078.9477351	26934736.4212691	21401693.0105968	13840240.3794181	28932224.4905257	2069518.25921458	-0.96	0.036410681136847
F4IEC7	AT1G32790	1200898.08818423	1637114.70424424	1401382.21553142	4078011.7636663	3248442.02519811	4090288.26929591	1.54	0.036436043165339
F4J865	AT3G52970	283639.915466427	1737718.83992563	559181.888218559	2203173.39691115	2004399.38442608	0	1.91	0.037518869208775
Q9SCV8	AT5G56870	21008894.8103314	18422400.330402	15525914.0385548	9035752.40842083	8364906.36964645	9272221.76977326	-1.03	0.037894510850395
Q8W0Z9	AT3G58560	1966034.96032852	2461993.92393201	3877075.9360487	6764099.71407633	7422225.02121671	6995481.39834874	1.51	0.038082747964823
P0CZ23	AT1G06290	430467712.059207	484466355.291528	742925702.352015	667184660.257012	770290302.114086	876511082.805589	0.67	0.039111503407348
Q9SRG3	AT1G77510	112097447.706643	60657732.0738893	79560089.4300334	220836297.067167	55167441.9292565	133315143.904043	0.74	0.039424180732461
O65787	AT2G24180	79343527.4332425	117943758.177137	72863740.7851582	158759845.790673	133347166.104225	76819002.1109898	0.75	0.039595365887891
Q9LZI9	AT3G62760	15163430.7367945	12006394.7690861	16502771.6505548	7503813.16464859	7310575.11411218	5838138.27252103	-1.05	0.040588940601252
Q9C6L5	AT1G25450	4522254.57166555	3435904.1317566	3410685.31699419	1103024.73115749	1143850.50574122	2220852.10560758	-1.59	0.041706251660474
Q56YT0	AT2G30210	148137299.839212	151521128.206697	120418272.019817	64942753.1008955	101435657.846887	89097890.9303739	-0.73	0.042339386640256
Q0WVH0	AT3G55510	31902805.3564914	157277657.244524	30810573.7967196	18012559.8677861	372184592.99715	15824394.5134308	-0.82	0.042391276645879
Q93VP3	AT1G26630	146062299.836986	138951869.048204	163316026.766832	242006964.882708	243559419.773769	233236513.795634	0.73	0.042425931752537
Q9FZD1	AT1G26460	28389836.1113008	14552456.761052	20476605.8109178	42145173.8067394	38501136.6465181	14791078.8735605	0.91	0.042455289351751
Q9FRS7		6084029.89334716	6204441.91211414	3110901.94802818	2269763.5527539	8012938.85615263	2068658.04052829	-1.42	0.042662883252887
F4J3N2	AT3G04340	5374778.8201105	7079139.71373543	3434678.335285	2106919.01256679	6964654.61416633	672661.536103994	-1.35	0.043414014267006
Q8GY58	AT4G39000	4139382.80850849	3746541.33397543	8696330.30843481	614248.166152978	4277299.94062785	0	-1.35	0.04348895293257
Q9SAZ5	AT5G39340	1172088.84658441	893797.501893743	1167946.60193616	527091.369606941	251100.921706637	168736.727815865	-2.22	0.043497791071884
Q7XJE6	AT1G02170	1307165.91253206	1820576.8889476	3412841.96396703	4956913.58194486	5195882.47713765	5099062.36617572	1.49	0.043634247623391
F4IE17	AT1G19170	3051370.34582389	5876536.23560894	3161340.37812224	1030355.98248479	476367.328044489	1277212.84707055	-1.62	0.044331019319102
F4JZQ4	AT5G26130	4357785.5300539	1705540.33357101	2299296.79118216	17076953.2058107	4856787.98304875	6384736.59123605	1.47	0.045580755145897
Q43731	AT4G37520	14460511.4107633	11543425.5673691	9417637.92051113	40196837.8539568	22675701.6816682	19045034.6392477	0.97	0.04610987743694
Q9SJA1	AT2G24640	318745.495334875	2139117.15670992	848550.016723363	198581.511489421	736786.693244041	110131.387194877	-2.1	0.046383197326778
Q9SVZ6	AT4G25890	110080610.281511	131775501.125213	79584425.8143329	69029244.335447	62522167.2448712	69058917.0860254	-0.67	0.047468220837028
Q8VZK9	AT1G55850	43527921.6411982	67522440.8565044	51912935.0183678	134329389.040848	88229285.6097818	59236613.2098516	0.77	0.047526423991443
F4IN63	AT2G48080	81927712.2859207	191402813.098256	52724047.4564022	152819402.486956	135126038.729418	54221665.7476925	0.72	0.047861122606708
C0LGT5	AT5G16900	93276.9929897917	80439.0260015634	584176.584694864	437811.370605864	1137679.13201746	163398.477864201	2.23	0.048172660747327
O03042	ATCG00490	41788954.4220394	36973874.1678055	17948716.5055549	30021027.6359913	22615500.6785596	18848083.8472528	-0.71	0.048372366026711
Q9FLX9	AT5G52820	29268405.6947213	28977441.8609483	23884288.6819666	15112052.1842851	22474379.1510023	14651820.398773	-0.94	0.048404205969255
Q39191	AT1G21250	149226.633697001	892871.307666844	103854.842385821	885054.507861269	666581.576911443	167836.941981828	2.16	0.048554699168735
Q84J77	AT4G17420	17324794.696817	6504791.29455798	15204727.863201	7434591.84147277	10571250.1380635	6372462.25276185	-1.03	0.048554699168735
Q9LVI8	AT3G17820	19656590.5015882	17631269.9197295	39418245.3433442	46425384.4729916	35966492.041699	36929348.5316022	0.91	0.048955523900405
O64725	AT2G02510	24547361.0431436	28227150.2076742	30892513.6764546	50201591.0132055	48364414.1636544	55858723.2126988	0.83	0.049241358355521
Q9C9Z1	AT3G08650	1383355.32848236	1831220.56326527	1911620.69265145	5397243.20020961	5128297.37880691	1782197.69206086	1.49	0.049281056903813
Q9SHH6	AT1G17170	558939.298486946	930892.543159884	0	3716354.48931207	2015330.78653171	2351638.42867297	1.7	0.049374391707419
Q8L7E9	AT4G35920	793610.185106007	543342.74934705	1223830.63755521	157066.035407083	1314936.79387486	177246.945978682	-2.16	0.049429064031495
Q41951	AT3G16240	208213687.774788	181513954.822532	218658338.063968	184640509.967313	127009841.571809	43857794.3678092	-0.71	0.050108614928309
Q9LE22	AT1G18210	15377333.6661088	9920227.90238034	10807913.4208258	22723659.1059224	7912536.09761221	21033037.5185351	0.96	0.050145168743526
