Accession	Gene ID	Abundances (Normalized): F7: Sample, rbohF C	Abundances (Normalized): F8: Sample, rbohF C	Abundances (Normalized): F9: Sample, rbohF C	Abundances (Normalized): F10: Sample, rbohF Cd	Abundances (Normalized): F11: Sample, rbohF Cd	Abundances (Normalized): F12: Sample, rbohF Cd	Abundance Ratio (log2): (rbohF Cd) / (rbohF C)	Abundance Ratio Adj. P-Value: (rbohF Cd) / (rbohF C)
Q9LW27	AT3G26830	37966743.5648281	37228282.8615699	38013794.4022254	87935153.341051	153340722.508726	129395463.998724	1.77	6.52689340797197E-05
Q9LMM1	AT1G01600	5322047.19895538	2765215.35928299	3058629.83302201	17355188.0201325	17055726.6972553	6624642.55325047	2.48	6.54964143991131E-05
O22243	AT2G47680	995771.864754796	5114109.18647171	803802.257778122	5827007.4335939	2929112.23381725	6050445.80363957	2.55	7.66169903459068E-05
Q8GWA5	AT2G42170	5717981.01685747	13218844.665491	10972439.0443815	3425688.6624447	2709092.91107941	1833617.34548213	-2.02	7.89943109279454E-05
A0A1I9LMD3	AT3G43920	927963.15295395	604672.06823408	1321012.18528218	6434287.4169806	5419597.52248212	5364522.37732008	2.55	8.01795235756254E-05
Q9XIW1	AT5G13870	42246757.4910974	19332242.7745149	8314585.90445117	6051656.55515569	11996706.4096677	5487936.90402994	-1.68	8.05992190502365E-05
P47735	AT4G28490	1303591.08652959	926314.83921849	927679.48443821	933586.798946126	12364366.1989694	5308208.00021427	2.52	9.13935682549441E-05
Q9LH50	AT3G12160	0	490278.398868521	0	3931463.89033029	3974404.68053705	3914607.46290013	3	9.99740621451532E-05
A8MQL8	AT5G15230	3691982.82633386	14022363.5068301	7816757.38870415	1360185.60478751	3697614.58328299	901662.786271865	-2.52	0.000111765798283
P19171	AT3G12500	3103674.67186739	6371008.67931633	6076994.57182952	20236123.9150526	20994468.0558526	31201572.598775	1.79	0.000111796005245
Q84L31	AT3G02540	4524683.3235541	3088662.94811752	5354058.33630283	886012.308687832	860612.745176231	757669.321803915	-2.39	0.000112719897689
F4KDB8	AT5G51630	946503.168497244	403991.976876004	4633366.16475499	2455603.9844491	5468339.08234925	5920671.78113926	2.53	0.000129648461611
Q8L7Y9	AT1G07230	8689421.13401572	31748678.9211468	80817510.6973897	10237718.2807378	10087787.1072955	16658712.5491198	-1.63	0.000143335536678
Q8VYE5	AT4G29360	0	6060661.90947697	236610.727488069	7751440.98806651	7345260.54462691	5451275.72647048	2.62	0.000146615651537
Q9SII6	AT2G17220	412222.900333409	139285.334220404	0	2809241.05090966	2689057.38396654	1261066.85355776	3.49	0.000147734886226
Q9SFF9	AT3G05950	6936016.56588282	2858170.16808038	6216385.07898944	20813635.3548757	6300700.46257313	23404537.6494069	1.74	0.000157033857732
Q9LMA1	AT1G19250	1162205.52887773	0	0	4420319.36537404	6320326.0608533	8765734.94235782	2.44	0.000184863408375
A0A1P8AUH4	AT1G21580	561657.746032248	77427.6435269764	134616.041970585	1226879.69772465	885958.256670983	1264872.8208512	3.19	0.000193348050664
P54969	AT5G56650	8085309.9645591	14438173.5733745	9339081.09204631	26188294.6860711	33470510.4087386	43279473.0289214	1.84	0.000225018712599
Q9FMP0	AT5G12230	4953822.55757304	6326724.95589862	6184981.20755391	1421937.63524533	380693.083927965	1366527.41533703	-2.18	0.000236118750205
F4IV99	AT2G13370	2921198.87797266	1291803.20460232	2431861.86776197	8501322.96167715	11192907.212498	16266570.4325839	2.2	0.000265659133226
F4HV67	AT1G54080	1690955.40061881	1404285.96365803	1541685.28368366	0	162197.143524855	154530.59179239	-3.28	0.000266110738594
Q9FG37	AT5G06680	196353045.068186	248210108.972911	203171354.779469	75860813.8730323	61158736.5126174	77518172.4678468	-1.42	0.000278645138015
Q84JE8	AT3G14890	103002.585631557	4065819.71852755	243160.142609774	1576700.67180023	4305977.30503287	2098079.45378553	3.11	0.000279192411841
Q9C5U2	AT5G35750	2120532.96073173	692985.683025402	353537.824242342	3288595.09694073	4247960.55314324	4844115.22646798	2.62	0.000280694945522
Q8GX94	AT5G62710	14765323.6127652	22043940.4065276	13793113.6345745	3611905.99079802	3547731.08695037	3604504.00328456	-2.03	0.000299227522415
O23264	AT4G14030	359234681.369465	409387807.382357	97926922.2172764	153350269.202266	118027778.943847	141995289.936633	-1.34	0.000300186775252
Q9SRV5	AT3G03780	282165346.295569	277716624.773539	348084369.081325	110054499.444511	113259733.419815	110330706.444305	-1.35	0.000327313489605
Q9SLM8		8798718.31766315	7650290.58719707	1312393.69247347	3481073.47771873	973732.144378735	1440701.60790276	-2.41	0.000343341560739
A0A1P8AZD5	AT2G33240	2597121.26220376	1001394.72113084	1003655.89909983	0	0	131658.019415016	-2.93	0.000403016614977
Q9LEX5	AT3G60980	38750192.206177	8674441.51264337	27270741.9868791	7997563.22833424	20474451.8183438	8594993.68027098	-1.67	0.000414743534272
Q9SKT7	AT2G20800	0	0	275157.448668052	3163881.73201272	1920259.57048623	2561511.62843833	3.22	0.000433877245409
O64718	AT2G02580	8759525.88498057	6385111.93319702	12727243.8424295	27244720.2447356	30838890.2912223	30297462.7987418	1.79	0.000452715096699
Q8RXF2	AT3G58030	799540.782222069	930977.828271525	198786.853209369	201881.97995197	75311.9198375915	106831.070420454	-2.9	0.000474111041372
P60300	AT5G33280	3547436.78469731	5390580.96232258	3356889.29645498	413449.218033113	507460.272071927	1628833.01830421	-2.81	0.000496021534901
Q9C911	AT1G74250	265460.762486723	0	260701.668840777	2465702.93225909	2130739.08158291	1223847.22926223	3.02	0.000542794823837
Q9LD45	AT5G47120	14023537.6277722	13931493.398499	19976386.1935896	37789951.3941623	44372025.5145167	50295137.0972141	1.66	0.000568827295943
Q8VZJ9	AT4G00330	16710737.0020235	15437279.0754006	17141628.8508566	2394237.27739092	5386313.4224277	4187804.72471104	-2	0.000605341594189
Q9SJ20	AT2G21790	200556.979047499	1766813.16990625	1523425.43408087	10846095.6696636	2635652.89092508	8353375.09298311	2.46	0.000628282209144
W8QP14		1104331.30177216	1662550.40647875	1870511.87485999	8724112.08796531	7574977.56436559	10819994.6078038	2.39	0.000638154645171
Q501E6	AT5G25250	9482949.24379851	17729481.8418235	11362019.3900999	37248911.2055181	38605633.6289675	33814473.9362825	1.71	0.000654093926374
Q9SLG3	AT2G32270	4253150.5689841	4748067.7928903	3584839.81414013	1027706.70282985	806397.201420127	40089.3083664635	-2.4	0.000664427092844
O24658	AT2G43590	2702299.83655328	2781126.09203696	1143181.91546934	310422.718245742	314283.805433773	0	-3.11	0.000682543579272
O82504	AT4G11130	5281022.57306108	3932081.67782398	4653462.80771269	410529.39603687	1563120.61975724	1054517.19654023	-2.14	0.000693514562431
Q9S9U1	AT4G04960	266497.657622421	0	0	2506984.69874941	1749580.61702026	2496276.43708389	3.23	0.000719242035085
F4HZE0	AT1G09130	322938.250156166	1419335.6125433	379182.040729467	3178927.66557309	2977590.43897786	1024819.74570573	2.97	0.000726019170668
Q9FKT4	AT5G56140	7446605.17350202	8176137.53123274	10350983.7132037	1807893.79553782	1415019.53057433	12185589.5492093	-2.18	0.000838788496387
Q9FY88		1106844.30223655	2856317.63132656	1340028.49139186	7158926.35668318	6982423.49555264	1477709.10116913	2.38	0.000854819189794
Q38896	AT2G21060	10050600.7986572	13944896.3492209	14898429.4780093	43180065.8412228	39809589.181198	49579382.8351517	1.63	0.000857015379499
Q9SR71	AT3G10070	3888741.06991037	3545138.24286176	4139907.0725589	672132.401533714	134847.125769668	1470544.60637169	-2.53	0.000889466652333
Q9FFE9	AT5G16340	3438088.71435039	822946.549164791	5331470.23382333	405636.696582392	3050041.37568332	521566.774857897	-2.72	0.000903791968537
Q8RWI0	AT1G54520	947572.673285331	1745854.13827908	1688725.97518082	5870271.20680066	9633959.44057342	10567015.4527498	2.51	0.000918581214226
Q56YT0	AT2G30210	305427040.829085	362285812.44946	292777072.881828	175317384.09249	129259101.148683	123957996.695097	-1.24	0.000934582503029
Q9FX85	AT1G49570	4395459.79759017	4229000.54456943	6356240.03462317	17246400.156879	17970764.9141678	28261365.874379	2.03	0.000992501062293
Q9LV23	AT3G18170	5307531.24512035	4565474.97173096	4331300.40256095	680569.689026142	2197340.9672749	1078507.09862757	-2.08	0.000998167624546
Q8LGA5	AT5G27420	887492.691377893	3728924.15804932	1322106.40958427	7192303.52841745	2743921.8191341	7475463.91388652	2.44	0.001001186912834
Q8RXD5	AT1G73260	7272359.50840903	5334560.00421449	7710312.62095285	21350378.2028616	11172024.1942547	28529480.9759117	1.55	0.001022133511405
O49596	AT1G20693	424189.520634612	6569517.12233175	3584429.38578665	31770821.1888599	3800175.60521263	15958748.9330324	2.15	0.001138628430959
Q43387	AT5G64120	703907.178941	11122458.8016176	771022.796320765	4272294.38758711	8548925.86763307	2905970.56174758	2.47	0.00116224213989
Q9S7U3	AT4G12520	4531043.90596044	23786439.4592044	5672753.70740547	900780.731536322	6997379.93339875	1391657.0770292	-2.03	0.001170777866924
Q9FN19	AT5G67320	21423413.4754346	16338926.1030591	26806355.9683785	59733930.3811207	43413400.6438911	64649448.3036088	1.48	0.001200782437813
F4HR96		2052960.96644403	1737810.58327091	1523481.68318674	3190386.93531257	12629472.1666106	9600259.52246869	2.47	0.001255659264161
Q9FFP8	AT5G63660	1884662.82249316	6378596.73473825	4001989.88114009	688277.010609865	3630476.4332263	812498.703805939	-2.3	0.001256698118264
Q6NLP2	AT1G34360	10388102.5569747	10156102.7863726	8346660.74970522	1008389.68693926	2384334.69907835	2938351.12448643	-2.09	0.001260733062318
Q9FZJ1	AT1G27440	3691886.52754808	0	0	370819.350535906	574708.060820453	801474.74545508	-2.68	0.00130506659266
P19172	AT5G24090	83569251.2395871	16141374.4457102	834239.973242932	182346093.375094	4291555.82771896	2412474.23682165	-1.91	0.001341224742543
P42804	AT1G58290	5779698.83895845	3221744.51862733	5817230.51920334	7080147.66633482	1414735.98592411	1520464.6457874	-1.93	0.001408426724227
A0A1P8B3U2	AT4G16260	43263434.404287	25138542.6422189	38706237.2413542	108988614.183894	74696373.8355081	130622900.38508	1.49	0.001517906937178
Q9LU46	AT5G51280	253396574.054566	216645801.822355	267633891.317086	111668606.507492	100215543.545873	106216494.427912	-1.25	0.001556811358797
F4I1Z0	AT1G63110	4220084.2794499	58809121.0858384	18157018.0424657	3604179.92144461	100523513.488869	7061717.6228034	-1.36	0.001667984707815
Q84K84		3779238.23122889	925032.563955205	4032799.2690185	481659.662569912	778638.810430919	692448.484751257	-2.45	0.001701481172804
Q93W30		5505268.74737709	2002256.13942638	4941963.57574476	1355937.1165906	1850322.38393669	990983.893581669	-1.87	0.001743411567966
Q9FY71	AT5G09440	82400806.2158653	91092308.1168367	65755290.8378415	57038607.3785479	32775282.8040616	36459919.7788583	-1.18	0.001769979253114
A0A1P8B395	AT4G11460	4179081.09295688	2746690.59364291	5322781.38592669	15387024.0489109	17071397.8688383	25188702.5764555	2.03	0.001850186705743
Q8LGG0	AT5G64350	1744059.76048342	1651791.446273	2441682.07879342	4990416.20281591	8500134.50914819	8541339.19059864	2.29	0.001875512718285
B9DH36	AT1G17890	4577176.12492213	3246278.23362649	7333530.55300015	16164808.9808324	17699187.26684	20339498.1787443	1.95	0.001879110384549
A0A1P8AV11	AT1G08040	1091712.9984803	831975.907663628	950229.366371411	4603480.68235254	4731110.92647567	5095911.69923115	2.32	0.001905226569865
Q6NLH7	AT5G19300	5423246.10356867	1994431.54861101	4825685.81307431	1344268.09251508	1110253.93597448	3347507.01476661	-1.84	0.001934255420037
A0A178V841	AT3G52100	1376553.9426117	2969861.52617192	3150151.84847389	755392.756115074	333337.624508531	509821.009092005	-2.54	0.001983759898718
Q9M2U5	AT3G54420	1176840.7000655	0	4042277.00297646	338012.356667743	244590.065819767	1137753.20165169	-2.69	0.001996472519283
F4IBR2	AT1G72270	480231.12948086	472609.331693097	712618.611073423	1028442.18585013	3051864.25029125	3251801.79538907	2.67	0.00213639352341
Q8W1Y3	AT3G44730	6147734.47867197	17461223.736391	13361715.6515759	3956306.15292631	3976646.11457047	8503681.74971235	-1.75	0.002154904426602
Q9FJ32	AT5G41820	2433731.21097557	9705859.18552266	0	1353391.93769878	9002774.37621507	300546.818349952	-1.84	0.002309680490719
P10795	AT1G67090	13408873.8183849	13173782.7723077	13145333.5251752	12883851.7783516	3965030.51400502	3355865.58077812	-1.73	0.002346349902795
Q9FEA2	AT5G64050	48908763.2918648	51490748.7895019	36918322.5456679	31827141.8624006	19628695.0964503	22006418.4360589	-1.15	0.002486664406242
Q8H1Q6		1707238.78741219	2796605.13713827	10071171.1702634	9670703.14567328	10727221.8702182	12687429.7275068	1.94	0.002596466676083
O80704	AT1G61990	7646628.64129448	1694026.0234507	6964526.60659926	4345668.6819975	1361464.7951615	1614881.32249516	-2.11	0.002715776367849
F4HZI6	AT1G15200	10034251.6314962	6969411.03903928	7162132.91694858	12906772.7745067	19878134.3683514	21922096.2403089	1.47	0.003039713276611
F4KC69	AT5G63960	32162442.8683799	29578642.081449	20328726.5499787	17685792.6343747	11724143.6876894	11571888.6393583	-1.34	0.003218590954388
Q9FY75	AT5G09400	11868300.6350737	17066312.2265542	18028636.6260403	40611312.5190423	46211267.034628	57126077.8683089	1.44	0.003278932088203
Q9LIB9	AT3G13784	2648288.54410921	2583425.86089405	1644128.21382413	504276.905299384	0	279747.081932566	-2.78	0.003343361731165
O82264	AT2G47970	3668923.55161854	7899916.77856817	9535904.27454698	8809319.170978	1851304.52009891	1356583.49355539	-2.09	0.003545297864435
Q9SYZ0	AT4G34250	771200.801050089	545642.295444369	465915.233702756	502716.416316409	3405538.89858509	3118498.52578916	2.51	0.00372170367207
F4ISN0	AT2G25730	116487240.516173	114327744.300941	136212575.754122	264330352.677611	231478976.134404	269360445.511719	1.18	0.003801367512529
F4K5M5	AT5G20730	34155516.9392928	1129596.35528144	9618294.39844552	11320680.3132741	814871.517973098	2475928.99619843	-1.96	0.004016264144055
Q9MAX3	AT1G78000	88261462.2998039	175313081.618594	56901470.2958934	138271301.696956	213064105.896842	280391757.992295	1.27	0.004043417700028
Q9LFS3	AT5G16010	878162.875157501	844163.647241986	501818.028378949	569534.591724843	3969810.13045876	6827497.79521846	2.23	0.004262973538921
O04193	AT2G39900	26160795.6199628	15940595.7697792	19095909.0619728	7157529.17420262	11253924.8224767	8517344.44834876	-1.16	0.004638136336346
Q9CAD6	AT1G63710	822565.458062204	233071.754998858	1253413.46743177	134987.345704916	0	155236.061062204	-2.51	0.004669299692474
Q9FIA1	AT5G55050	9846037.7629181	19337762.5391134	4054304.28119724	2963944.26323781	7142546.7475214	2302690.8749854	-1.73	0.00479085527792
Q9LK88	AT3G27890	23765881.9836844	22298552.7217542	24036349.8253857	59707369.0906564	59559450.7851415	52458540.3921122	1.33	0.004800199510312
P57750	AT5G18070	1861747.23087082	1555504.09665304	1717974.46129779	271390.132406783	0	203664.296948073	-2.87	0.004966321249482
Q9SH66	AT1G64160	9171189.43966541	7137437.25037755	10972391.2304562	28234009.0720517	19102428.0718339	32503104.9353273	1.62	0.00498171854718
O81027	AT2G26800	1263456.4933219	4769212.49424171	255014.477775454	1232161.988533	5734611.88278454	4946854.17835482	1.97	0.005272008680014
F4K0J3	AT5G60930	674644.810458579	2091049.24525099	1525291.05127829	10444238.4651563	1688804.04091398	6127961.8583857	2.01	0.005624084120189
A0A1P8B3K8	AT4G28400	1532183.66165693	1031540.98807236	2521867.51745777	4262285.03558706	6021960.6102939	8896136.87727458	1.97	0.005868061205029
A0A1P8AMM7	AT1G02010	664505.554828286	0	349540.466455403	2754084.71692207	2865092.5008374	3420045.30510085	2.57	0.00592324806522
Q94K73	AT3G58140	1613531.43187726	3566785.84591465	1068094.47269067	7099241.54629141	4527014.51229589	8312570.8401574	2.14	0.006024492033543
A0A1P8B5S3	AT4G15230	5192640.80901008	12821520.2834487	8985234.79368648	2024174.35407996	2415992.45295025	5180518.44668263	-1.89	0.006101276297298
Q8GW64	AT1G18440	7287502.28845067	7602450.64917536	8547276.63306247	3102167.40528716	1937024.71592436	1035288.62258374	-1.97	0.006212962236561
O04309	AT3G16470	870972422.688453	468684644.153911	565286704.504787	1577407485.18147	955203011.947372	1189969614.74089	1.07	0.006222092074343
Q9LVA5		6826356.85063064	5602763.41083725	1116944.91994345	1174772.51515617	2423024.62493411	0	-1.73	0.006462943979853
O81888	AT4G33720	7242644.19219496	2611819.25273547	9005286.22320204	19434658.9885689	11761814.0554439	25244695.0723659	1.42	0.006547074389392
Q9LVE2	AT3G21650	750934.718181525	693392.312709822	353421.873288288	146615.345371588	133283.295436902	136082.426532128	-2.35	0.006611380324659
Q8GUH1	AT2G45910	892061.693871341	1117261.94263991	2480064.76193409	1344407.26946162	194753.306105724	213916.197441071	-2.38	0.006651089528869
Q9LFX3	AT1G27150	1018369.11272159	1940508.76503899	1914425.73100407	331596.663769665	326068.213388693	202905.430091119	-2.55	0.006708066967074
Q94AZ2	AT5G26340	1376531.02404475	3402062.5662363	1097119.36096334	3290868.8599675	5173287.46806146	5179713.2762965	1.91	0.006819059921471
Q9FE29	AT4G15610	20845911.3232762	27656936.021697	22398070.185551	70924625.8386646	56394922.4942863	50277646.8686718	1.33	0.006852966063637
F4IXH3	AT3G15120	906982.548056547	5506635.03623285	4135229.37156567	321716.6203732	1714686.41030913	1143452.54497309	-1.85	0.006906750278115
O23547	AT4G17030	633702.414274278	498965.2139911	608114.688781759	3390189.98434846	1019325.59092412	3148203.95873721	2.37	0.00701687119863
Q8LPL2	AT3G16180	8844533.0430645	6888993.58813908	8835699.2336308	1144258.5785908	2374162.10054649	3180663.4545559	-1.9	0.007260174579893
Q9LD40	AT4G01010	12237.4096305066	3260565.72112367	16721.4002270239	0	1290823.76284955	4931.00906497135	2.25	0.00736377584331
F4I3G8	AT1G55880	6243270.62703777	2939422.75787332	4969612.9614068	1739775.53881243	1588886.37398364	572214.568025664	-1.65	0.00738896799193
Q8VYR3	AT1G60790	4084090.65471243	2694498.38326247	69506307.7197952	698429.869968559	1033051.47359478	16415923.0995089	-1.98	0.007412614359275
P93046	AT3G44990	24884703.9234562	26540618.2143039	16065730.1971507	8687730.75529531	13176774.1935284	9751802.10327668	-1.35	0.007631264202715
Q8LBL1	AT5G55630	686530.280670702	3146468.88255766	637807.147299418	1325250.60893924	3481518.35634178	3651859.96659585	2.34	0.007707610002156
Q9C9U9	AT1G73620	32054322.3185194	62950534.601659	44152815.4137861	18802716.6420619	60335178.0500102	20683538.6768862	-1.09	0.007807404878879
Q9ZUL7	AT2G02130	16566172.2582923	26021069.7431728	28077713.2283742	9405848.21929272	16216208.0549675	10164603.6122897	-1.36	0.007917540381454
P21276	AT4G25100	4962346.64929962	1021213.09250194	1543620.08684425	9581829.44236054	1790662.9587679	5750264.86418566	1.9	0.008285094412234
Q9LTL8	AT3G26230	4633003.27174792	4594327.22111645	10493845.9964702	650970.23972733	2030944.71439546	1454925.14738998	-1.67	0.008310720321226
O82659	AT3G50360	6535575.52615691	4668301.72244905	8762522.24999408	18299555.2967216	11001141.4342535	23985058.0194404	1.49	0.008426706606322
Q9CA57	AT1G74590	1956033.92629374	1560290.64377031	2054693.80288561	8033561.84001572	4913267.22561072	14505454.4426334	2.04	0.00859128311429
F4K6B8	AT5G56040	861073.343073171	1282802.39930455	1298918.81925657	100340.218164778	238107.274366445	1002128.71058337	-2.43	0.008919044882207
Q9FWS4	AT1G75350	1002482.41435863	3102811.05924603	5284248.60683278	873119.422712155	625503.623932874	650911.788616869	-2.25	0.009084754436964
Q9CAX3	AT3G11550	18605527.4848483	23583868.6052834	25760566.604414	9076416.5533796	14412121.089675	7717088.46828464	-1.38	0.009164574669633
Q94AS5	AT5G15860	4601985.43964774	3049888.06009598	7820314.93704871	9713746.41138127	18588386.6759853	16517925.1002962	1.84	0.009344441959987
Q96330	AT5G08640	1741267.9117871	1292860.47557258	1799839.68095276	223980.36956738	675814.540825791	264561.020036979	-2.72	0.009677746139386
Q9FE06	AT5G64260	30604518.0346263	50192929.5183594	18011586.2414777	29584733.4758975	14035714.608101	11781626.9456	-1.12	0.009914451738696
Q9LTT3	AT3G13350	5879064.30072006	3704892.13567563	6535080.11137369	1810430.72999122	1270786.05619576	1890317.96963578	-1.7	0.01001523429079
